solute,WaterYear,NE_BBWM_WB,SE_CWT_CWT07,NE_HBEF_WS1,WC_HJA_HJA06,WC_HJA_HJA07,WC_HJA_HJA10,PR_LEF_MPR,PR_LEF_QS,PR_LEF_RI,GL_MEF_S4,GL_MEF_S6,SE_SEF_WS77,GL_TLW_C31,GL_TLW_C33,GL_TLW_C34
Ca,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1964,NA,NA,0.258174709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1965,NA,NA,0.011485299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1966,NA,NA,0.137072613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1967,NA,NA,0.2152764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1968,NA,NA,0.097185652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1969,NA,NA,0.090538234,NA,NA,0.205710048,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1970,NA,NA,0.142469702,NA,NA,0.320223096,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1971,NA,NA,0.310743073,NA,NA,0.243166683,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1972,NA,NA,0.18749264,0.150769061,0.109707655,0.500698671,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1973,NA,NA,0.22953968,0.096972453,0.101633625,0.113632162,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1974,NA,NA,0.297445912,0.246295325,0.189354198,0.158532283,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1975,NA,NA,0.321810179,0.119369715,0.101812233,0.11646787,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1976,NA,NA,0.147097741,0.203358976,0.204707672,0.32500733,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1977,NA,NA,0.277632049,0.180469176,0.209674783,0.268774397,NA,NA,NA,NA,NA,0.125941857,NA,NA,NA
Ca,1978,NA,NA,0.216896086,0.290111078,0.380142258,0.345581304,NA,NA,NA,NA,NA,0.54336565,NA,NA,NA
Ca,1979,NA,NA,0.302808159,0.273381891,0.26917121,0.169584562,NA,NA,NA,NA,NA,0.343265986,NA,NA,NA
Ca,1980,NA,NA,0.270630087,0.198673292,0.231809881,0.205365688,NA,NA,NA,NA,NA,0.401243454,NA,NA,NA
Ca,1981,NA,NA,0.189294664,0.161137735,0.173585533,0.213017167,NA,NA,NA,NA,NA,0.537234735,0.063785269,0.007114704,0.025661435
Ca,1982,NA,NA,0.22174369,0.13359536,0.132450994,0.329740925,NA,NA,NA,NA,NA,NA,0.179057395,0.014098648,0.064208489
Ca,1983,NA,NA,0.224367936,0.1417359,0.133221493,0.1185907,NA,NA,NA,NA,0.145242053,NA,0.189607283,0.012603046,0.074069314
Ca,1984,NA,NA,0.099839668,0.230802503,0.230696895,0.156361691,NA,NA,NA,NA,0.292589782,NA,0.237828178,0.014576309,0.082799261
Ca,1985,NA,NA,0.1271635,0.162845779,0.159560151,0.090843741,NA,NA,NA,NA,0.201159268,NA,0.128366899,0.007958198,0.039312713
Ca,1986,NA,NA,0.173686901,0.134452482,0.131194603,0.236874477,NA,NA,NA,NA,0.225869659,NA,0.178883177,0.012813173,0.055375057
