solute,WaterYear,NE_BBWM_EB,SE_CWT_CWT18,GL_DOR_HP3,GL_DOR_HP3A,GL_DOR_HP5,GL_DOR_HP6,GL_DOR_HP6A,GL_ELA_EIF,GL_ELA_NEIF,GL_ELA_NWIF,NE_HBEF_WS6,NE_HBEF_WS7,NE_HBEF_WS8,NE_HBEF_WS9,WC_HJA_HJA08,WC_HJA_HJA09,GL_MEF_S2,GL_MEF_S5,SE_SEF_WS80,NE_SLP_SLPW9,GL_TLW_C32,GL_TLW_C35,GL_TLW_C38
Ca,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.011485299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.137072613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2152764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.097185652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ca,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.090538234,NA,NA,NA,NA,0.197824513,NA,NA,NA,NA,NA,NA,NA
Ca,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142469702,NA,NA,NA,NA,0.322724192,NA,NA,NA,NA,NA,NA,NA
Ca,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.310743073,NA,NA,NA,NA,0.271657419,NA,NA,NA,NA,NA,NA,NA
Ca,1972,NA,NA,NA,NA,NA,NA,NA,0.33333844,0.1966152,0.195583782,0.18749264,NA,NA,NA,0.087209638,0.461650008,NA,NA,NA,NA,NA,NA,NA
Ca,1973,NA,NA,NA,NA,NA,NA,NA,0.316080877,0.167435151,0.166293858,0.22953968,NA,NA,NA,0.095713092,0.124007952,NA,NA,NA,NA,NA,NA,NA
Ca,1974,NA,NA,NA,NA,NA,NA,NA,0.446733898,0.33222597,0.291518791,0.297445912,NA,NA,NA,0.197554755,0.181246044,NA,NA,NA,NA,NA,NA,NA
Ca,1975,NA,NA,NA,NA,NA,NA,NA,0.887830822,0.2800839,0.303488332,0.321810179,0.021632061,0.024028736,NA,0.082726782,0.116518542,NA,NA,NA,NA,NA,NA,NA
Ca,1976,NA,NA,NA,NA,NA,NA,NA,0.468305503,0.292535306,0.213804933,0.147097741,0.021529261,0.023140592,NA,0.178771761,0.350969424,NA,NA,NA,NA,NA,NA,NA
Ca,1977,NA,NA,NA,NA,NA,NA,NA,0.511728575,0.317877725,0.339401719,0.277632049,0.010472654,0.01073575,NA,0.163371598,0.319888504,NA,NA,0.124098774,NA,NA,NA,NA
Ca,1978,NA,NA,NA,NA,NA,NA,NA,0.455033958,0.24960201,0.294497425,0.216896086,0.021231874,0.02219181,NA,0.242315856,0.394090949,NA,NA,0.328895025,NA,NA,NA,NA
Ca,1979,NA,NA,NA,NA,NA,NA,NA,0.344462188,0.074874283,0.083327212,0.302808159,3.21888e-4,2.98325e-4,NA,0.237460868,0.182566872,NA,NA,0.495707947,NA,NA,NA,NA
Ca,1980,NA,NA,NA,NA,NA,NA,NA,0.482093768,0.651507623,0.459026079,0.270630087,NA,NA,NA,0.191566661,0.205755757,NA,NA,0.234741134,NA,NA,NA,NA
Ca,1981,NA,NA,NA,NA,NA,NA,NA,0.057758923,0.18477135,0.324648184,0.189294664,NA,NA,NA,0.157401535,0.216870152,NA,NA,0.297862438,NA,0.111518937,0.060287021,1.154872243
Ca,1982,NA,NA,NA,NA,NA,107.9808,107.9808,NA,0.207562258,0.288542617,0.22174369,NA,NA,NA,0.116964221,0.371414816,NA,NA,NA,NA,0.186801747,0.164046866,1.71930444
Ca,1983,NA,NA,NA,NA,NA,110.6844,110.6844,0.295105663,0.315755179,0.345364161,0.224367936,NA,NA,NA,0.120827292,0.14909058,0.197857938,NA,NA,NA,0.168025764,0.143394026,1.228268561
Ca,1984,NA,NA,NA,NA,NA,104.2994,104.2994,0.026842253,0.02698504,0.004876033,0.099839668,NA,NA,NA,0.255219586,0.181411468,0.157816251,NA,NA,NA,0.171653273,0.152944351,1.871015109
Ca,1985,NA,NA,NA,NA,NA,113.2518,113.2518,0.692213858,0.525628253,0.568853015,0.1271635,NA,NA,NA,0.16891396,0.106253771,0.060346377,NA,NA,NA,0.103173043,0.077963538,1.240961552
Ca,1986,NA,NA,NA,NA,NA,120.66635,120.66635,0.157319231,0.177123671,0.097967216,0.173686901,NA,NA,NA,0.135535202,0.312213699,0.07220479,NA,NA,NA,0.12141485,0.111291655,1.560816106
Ca,1987,NA,NA,NA,NA,NA,119.65085,119.65085,0.376288408,0.530891673,0.154535921,0.098379309,NA,NA,NA,0.212367833,0.173246015,0.308330911,NA,NA,NA,0.15062719,0.112766503,NA
Ca,1988,NA,NA,NA,NA,NA,109.40715,109.40715,NA,0.003126189,NA,0.165385522,NA,NA,NA,0.12753198,0.180761135,0.274926034,NA,NA,NA,0.11617214,0.104612776,1.526784745
Ca,1989,5.783227274,NA,NA,NA,NA,110.8641,110.8641,1.789321025,1.000672708,1.218485888,0.099243354,NA,NA,NA,0.186407,0.362993408,0.098467052,0.067283565,NA,NA,0.146135839,0.099691815,0.894727966
Ca,1990,4.961891587,NA,NA,NA,NA,119.14035,119.14035,1.520977421,0.49292589,0.816531464,0.089190613,0.001376662,NA,NA,0.183694793,0.13982841,0.281274748,0.027656467,0.358353968,NA,0.215897455,0.130109703,1.318376369
