Year,Month,WaterYear,WaterYearMonth,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,StrTDPmgL,FWASO4SmgL
1980,10,1981,198110,4.510870426,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.735000134,123.3199997,N/A,N/A,N/A,N/A,N/A,N/A
1980,11,1981,198111,-0.04608998,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.324999988,145.2599945,N/A,N/A,N/A,N/A,N/A,N/A
1980,12,1981,198112,-9.426722987,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-9.454999924,75.25,N/A,N/A,N/A,N/A,N/A,N/A
1981,1,1981,19811,-11.58383103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-12.30500031,56.54000092,N/A,N/A,N/A,N/A,N/A,N/A
1981,2,1981,19812,-1.416697636,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.950000048,93.55000305,N/A,N/A,N/A,N/A,N/A,N/A
1981,3,1981,19813,-0.079254819,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.370000005,57.15999985,N/A,N/A,N/A,N/A,N/A,N/A
1981,4,1981,19814,5.43140374,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.364999771,118.3399963,N/A,N/A,N/A,N/A,N/A,N/A
1981,5,1981,19815,11.45040404,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.01500034,96.19999695,N/A,N/A,N/A,N/A,N/A,N/A
1981,6,1981,19816,15.2978041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.07500076,110.8700027,N/A,N/A,N/A,N/A,N/A,N/A
1981,7,1981,19817,18.07222406,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,18.99500084,129.4600067,N/A,N/A,N/A,N/A,N/A,N/A
1981,8,1981,19818,16.69267823,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.84000015,111.5500031,N/A,N/A,N/A,N/A,N/A,N/A
1981,9,1981,19819,12.24803236,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.73999977,175.5899963,N/A,N/A,N/A,N/A,N/A,N/A
1981,10,1982,198210,6.300099574,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.454999924,148.7599945,N/A,N/A,N/A,N/A,N/A,N/A
1981,11,1982,198211,1.10297416,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.659999967,102.8399963,N/A,N/A,N/A,N/A,N/A,N/A
1981,12,1982,198212,-3.306555994,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-3.289999962,180.3999939,N/A,N/A,N/A,N/A,N/A,N/A
1982,1,1982,19821,-12.56205444,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-12.97000027,129.4499969,N/A,N/A,N/A,N/A,N/A,N/A
1982,2,1982,19822,-8.766511764,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-8.100000381,90.56999969,N/A,N/A,N/A,N/A,N/A,N/A
1982,3,1982,19823,-2.00225811,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.309999943,86.83000183,N/A,N/A,N/A,N/A,N/A,N/A
1982,4,1982,19824,2.70993604,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.345000029,128.0800018,N/A,N/A,N/A,N/A,N/A,N/A
1982,5,1982,19825,10.70628537,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.18500042,25.04999924,N/A,N/A,N/A,N/A,N/A,N/A
