WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWASO4SmgL,iNDVI
1981,5.115053092,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.417500123,1293.09,N/A,N/A,N/A,N/A,N/A,N/A
1982,4.68828151,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.977916588,1275.079983,N/A,N/A,N/A,N/A,N/A,127.77495
1983,6.511114539,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.77333323,1301.150024,N/A,N/A,N/A,N/A,N/A,130.7481
1984,5.523039941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.770000041,1597.579998,N/A,N/A,N/A,N/A,N/A,124.8114
1985,5.747754388,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.70416674,958.1599998,N/A,N/A,N/A,N/A,N/A,118.49575
1986,5.693076499,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.225416561,1242.899994,N/A,N/A,N/A,N/A,N/A,119.1449
1987,5.46584371,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.435833166,1094.990007,N/A,N/A,N/A,N/A,N/A,120.8676
1988,5.474176743,1040.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.17,5.861666704,1043.749996,N/A,N/A,N/A,N/A,N/A,109.9728
1989,5.531173136,1437.8,1035.152971,6.700380571,0.002218885,0.014737563,0.169701568,6.352093791,1.43,3.22,4.65,6.51,5.509583394,1289.179996,5.783227274,0.00251666,0.018546507,0.245081367,6.12056615,132.4008
1990,5.24713215,1387,1076.008022,5.602092834,0.001913308,0.004002205,0.095207379,6.20079151,1.37,3.02,4.39,6.1,5.365833307,1292.660007,4.961891587,0.00175588,0.004555149,0.130760351,5.525700838,149.41575
1991,6.545199458,1359,1027.789561,5.165964733,0.001802796,0.007501594,0.12246254,5.924340491,1.3,2.41,3.71,5.1,6.765833355,1452.160015,N/A,N/A,0.005178098,0.196588284,6.215586484,140.6972
1992,4.947303995,1267,857.4810066,5.923860667,0.001727287,0.003020483,0.054539118,6.364858377,1.2,2.3,3.5,4.8,5.21083343,1079.389999,5.618272328,0.001714375,0.003922628,0.07350818,6.23826446,136.7901
1993,5.041912538,1102,816.1508971,4.993094708,0.001481662,0.001655375,0.03159148,5.591196199,1.07,2.31,3.38,4.77,5.216666691,1069.459984,N/A,N/A,0.001368883,0.044127471,5.936699519,139.0618
1994,4.922615323,1370,1055.105438,4.976323375,0.001511249,0.00020467,0.017618788,5.313200106,1.34,2.57,3.91,4.85,5.178750028,1356.419983,N/A,N/A,0.00026601,0.020808754,5.431948152,128.1218
1995,6.148002143,1094,664.1321037,4.663378695,0.00179475,0.003982083,0.019951809,5.452561771,1.25,2.32,3.57,3.68,6.099583298,1034.899986,N/A,N/A,0.005065602,0.028298428,5.672860862,138.36845
1996,5.807721184,1757,1519.000287,5.011381743,0.00190545,0.008322292,0.009751213,5.295386748,1.54,3.07,4.61,5.16,5.490000084,1561.960001,4.886484583,0.002080673,0.008572577,0.012358508,5.116692623,128.2487
1997,5.440990123,1292,966.9820437,4.644520601,0.001800622,0.001867532,0.027538657,5.547126904,1.63,3.61,5.24,5.83,5.576249985,1184.760002,N/A,N/A,0.000721104,0.03766221,5.495707434,143.65865
1998,5.71366947,1111,1055.105438,3.410030473,0.001868201,0.003026668,0.006297202,4.651938285,1.23,2.01,3.24,3.88,6.577499955,1218.949982,N/A,N/A,0.003053671,0.009958587,5.259192662,156.3576
1999,6.473479108,1428,941.3288723,3.824591602,0.001623713,0.007181642,0.03132092,4.669474861,1.8,3.03,4.83,6.88,7.342083065,1288.179995,N/A,N/A,0.013393995,0.053116805,5.441506207,135.8884
2000,5.201534259,1272,1082.421315,3.68353555,0.00183459,0.01371544,0.015591865,4.467112912,1.95,3.24,5.19,5.85,6.187916766,1220.190006,N/A,N/A,0.017354218,0.02008493,5.305897784,155.33865
2001,5.200509105,977,524.2273079,5.093527516,0.002296978,0.004254771,0.010832724,5.996369963,0.93,1.77,2.7,3.43,6.007083396,896.0999908,4.315317705,0.002372151,0.004023708,0.011774923,5.398453429,156.69505
2002,6.121336353,1178.4,728.7400909,3.997139289,0.002174285,0.006850685,0.010001901,4.814835095,2.04,2.89,4.93,4.33,6.971249933,1082.379999,4.219967853,0.002463458,0.010763556,0.014605996,5.408289607,169.77055
2003,4.485684916,1233.4,871.7327685,3.496273567,0.002367794,0.004534688,0.00504205,5.046690422,0.86,1.63,2.49,2.84,5.068749825,1115.829998,N/A,0.002430017,0.001445577,0.009645706,5.26009946,145.56035
2004,4.886831694,1419.381818,1132.302482,4.602940818,0.001875655,N/A,0.00305596,5.54080847,0.746666667,1.985454545,2.732121212,3.883636364,5.620000174,1249.830008,4.239579407,0.000552611,N/A,0.003459262,5.141763135,167.25065
2005,5.364507452,1355.9,1152.730007,4.341511556,0.002066484,N/A,0.005320144,5.424013699,1.23,1.61,2.84,3.4,5.914583246,1427.830002,3.750237542,0.002180762,N/A,0.007406171,5.100515202,139.5664
2006,6.321674521,2033,1395.960076,4.136313656,0.001798628,0.003714865,0.017161665,4.867781464,1.89,2.06,3.95,4.14,7.074583421,1651.859978,3.950554997,0.001939751,0.000631099,0.009216433,4.800946329,122.4434
2007,5.616710575,1412.2,1038.953441,3.431785812,0.001908689,N/A,0.018275623,4.657922952,1.32,1.82,3.14,3.66,6.189166635,1323.389992,N/A,N/A,N/A,0.026324187,4.500568691,152.5212
2008,5.499531202,1659.4,1249.641988,3.555021304,0.002475822,0.009423948,0.003810853,4.54117549,1.461818182,1.865454545,3.327272727,3.981818182,6.119999935,1502.110004,3.229967371,0.002446559,0.002125576,0.007395172,4.240375085,147.9232
2009,5.055273178,1073.04,1440.615597,3.256828161,0.002751666,N/A,0,4.767606191,0.48,0.78,1.26,1.764,5.550000211,1434.450001,2.921831972,0.002650476,N/A,N/A,4.412644687,156.99265
2010,6.621424932,1257.054545,1046.079322,3.233907856,0.001678573,N/A,8.98E-05,4.693428496,0.436363636,1.047272727,1.483636363,1.767272727,7.512916664,1288.159981,3.480166653,0.001722187,N/A,0.000133897,4.174342192,185.49705
2011,5.320779452,1502.8,1449.166654,3.562674935,0.001674162,N/A,0.001471834,3.831546202,0.63,1.51,2.14,2.44,6.248750051,1515.339996,3.292737981,0.001674078,N/A,0.000855888,3.701052162,129.72425
2012,7.017432426,1268.2,1256.055281,3.897012573,0.001624862,N/A,0.011375514,3.78395096,0.86,1.34,2.2,1.76,7.465416869,1258.899994,3.784106264,0.001685929,N/A,0.012924301,3.737394256,137.6602
2013,5.792046093,1757.333333,1535.152284,3.281403174,0.001386764,N/A,0.007430773,3.377101002,1.533333333,1.453333333,2.986666666,0.506666667,6.573333335,1382.789997,3.319945303,0.001498265,N/A,0.006847726,3.462241241,149.14295
2014,5.147718357,N/A,1031.352502,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.414583291,1255.889996,N/A,N/A,N/A,N/A,N/A,112.04015
2015,4.973104,N/A,1155.105301,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.562499955,1397.19001,N/A,N/A,N/A,N/A,N/A,137.6602
2016,6.50250937,N/A,1042.516382,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.248333228,1188.66,N/A,N/A,N/A,N/A,N/A,137.6602
