WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
2003,12.87203197,2146.3,880.128232,0.623791654,N/A,0.007422898,0.005935103,N/A,0.123422155,0.190553031,0.243758714,0.434311745,0.363610899,12.81621799,1799.257079,0.07610304,N/A,0.000792577,0.000473626,N/A,0.017077254,115.5933
2004,12.51523224,2207.006,779.4781836,0.588782827,N/A,0.004287053,0.005449137,N/A,0.124302666,0.23437928,0.285374669,0.519753949,0.443033586,12.49044884,1740.086519,0.082377382,N/A,0.000482166,0.00046607,N/A,0.01814239,127.3767
2005,13.1194322,2331.72,774.5566749,0.671522654,N/A,0.006522308,0.011082394,N/A,0.117423107,0.207322393,0.235536141,0.442858534,0.387617304,12.9375641,1984.986882,0.092544632,N/A,0.000970288,0.001091448,N/A,0.01716555,156.6607
2006,13.13261892,2201.672,1415.042384,0.588993038,0.23333375,0.006772269,0.007690738,0.54326,0.123579943,0.257776952,0.264915543,0.522692495,0.492694843,13.06628213,1573.22281,0.087898704,0.017143972,0.000965494,0.001002096,0.01675106,0.01994427,123.55025
2007,13.02127556,1710.436,717.3594864,0.666566231,0.809813462,0.005861843,0.017001195,N/A,0.114506962,0.196472877,0.197948136,0.394421013,0.421670001,12.76762819,1387.52582,0.089919008,0.128290811,0.000761126,0.001142963,N/A,0.017615902,134.1185
2008,13.45332175,1692.402,684.4203293,0.663599117,0.801456604,0.003735849,0.011067644,0.004764129,0.12226173,0.230515059,0.201799062,0.432314121,0.43317023,13.25038454,1321.464641,0.088053108,0.130196497,0.000460402,0.000920159,0.000310156,0.019442266,136.3008
2009,12.85135845,1724.152,595.086917,0.586158667,0.837817308,0.003211538,0.027759838,0.003195089,0.121924788,0.152432428,0.159335308,0.311767736,0.256496894,12.4526603,1384.420248,0.081782793,0.146852703,0.000540423,0.001843238,0.000525879,0.02129784,113.2726
2010,12.03850978,2497.328,1114.206899,0.579017115,0.655440385,0.00375,0.014080917,0.003468083,0.122120359,0.176793114,0.182840454,0.359633568,0.25099613,11.98208327,2182.879248,0.077901509,0.081407448,0.00048301,0.001146354,0.00042551,0.0186855,128.02325
2011,13.32637722,1946.402,1172.046434,0.705709904,0.997621154,0.004826923,0.027767903,0.002784706,0.126124515,0.204846574,0.188290794,0.393137368,0.242843728,13.05160255,1658.753762,0.086900619,0.130424715,0.000532444,0.00145489,0.000339891,0.017101527,116.9913
2012,14.14185032,1816.354,720.2405999,0.676294288,0.981844231,0.006019231,0.033020397,0.008721934,0.112114019,0.20500155,0.18585565,0.390857201,0.220325358,13.93618586,1358.889805,0.087677716,0.115840083,0.001004695,0.003258724,0.000298598,0.01564054,130.3204
2013,12.82061644,2317.75,1212.306454,0.601205604,0.949355556,0.00245283,0.017713102,0.008615993,0.123016937,0.246673548,0.187644831,0.434318379,0.222091235,12.73112186,1810.887239,0.080856607,0.019928724,0.00034111,0.001605424,0.000183483,0.018108922,130.31755
2014,12.13182049,2247.138,1209.840976,0.577588255,0.679831579,0.001960784,0.014523021,0.001371429,0.11515504,0.140289649,0.139790771,0.28008042,0.149317972,11.97548069,1969.224784,0.077180446,0.047689817,0.000281114,0.00189922,6.79E-05,0.016097015,128.84445
2015,12.60613221,1814.576,794.0537842,0.684156863,0.634717647,0.00256,0.018532411,0.001363265,0.128518284,0.146127751,0.154219202,0.300346954,0.143812431,12.44532053,1495.975874,0.103724418,0.113736175,0.000361266,0.001525647,0.000236755,0.022882352,127.3651
2016,13.8960808,2327.656,985.7470205,0.693553846,0.866323077,0.002211538,0.021608518,0.001473171,0.120039807,0.147464491,0.149495762,0.296960253,0.121840029,13.70919866,1819.886483,0.082799346,0.095867195,0.000291146,0.001758047,0.000128674,0.017252328,N/A
2017,14.47631588,1596.898,792.0133891,0.731876923,1.162188462,0.0035,0.037282399,0.0016,0.117007975,0.204993818,0.174399236,0.379393054,0.143679417,14.5472116,1181.093129,0.086189514,0.178259601,0.000389903,0.003018646,0.000151585,0.014843696,N/A
