WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1981,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.413649957,1182.291393,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1982,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.606161691,1123.792103,N/A,N/A,N/A,N/A,N/A,N/A,107.9808
1983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.736035862,1259.614978,N/A,N/A,N/A,N/A,N/A,N/A,110.6844
1984,N/A,879.84,1011.823935,N/A,N/A,N/A,N/A,N/A,N/A,1.757492697,0.949636771,2.707129468,4.84881015,4.240533336,1124.371641,N/A,N/A,N/A,N/A,N/A,N/A,104.2994
1985,5.178630137,1109.8,686.4398656,N/A,4.245588235,N/A,N/A,0.008078,0.002472674,4.203976059,1.280319223,5.484295282,19.78946855,4.649840088,1200.682602,N/A,2.18753547,N/A,N/A,0.002794996,0.001931417,113.2518
1986,5.044383562,1192.5,722.6544366,N/A,4.322,N/A,N/A,0.006532,0.002624773,5.303179861,2.148726047,7.451905908,14.08779163,4.373565825,1199.912253,N/A,1.681124489,N/A,N/A,0.001329681,0.001193603,120.66635
1987,5.568767123,944.5,415.6064244,N/A,4.197297297,N/A,N/A,0.005361972,0.002373375,7.693135458,2.730609129,10.42374459,21.14834457,4.763362519,1005.788879,N/A,1.603278827,N/A,N/A,0.000928907,0.001064836,119.65085
1988,5.398907104,958.2,492.5547481,N/A,3.779032258,0.017346154,0.082444444,0.005942857,0.002092259,4.188154297,1.488719403,5.6768737,10.01529629,4.852521596,1033.134577,N/A,1.175472318,N/A,N/A,0.000883054,0.00121252,109.40715
1989,5.267123288,962.7,526.5290748,N/A,3.943548387,0.019409836,0.091901639,0.006147541,0.002094748,1.963225603,0.954846144,2.918071747,10.47749745,4.295615854,1081.280747,N/A,1.809233078,N/A,N/A,0.001582826,0.001378779,110.8641
1990,5.048219178,839,443.204294,N/A,3.927118644,0.020321429,0.097464286,0.00545,0.002187638,4.605871466,1.667324278,6.273195744,9.484661677,4.321398335,1001.403137,N/A,1.557732303,N/A,N/A,0.000726461,0.001328932,119.14035
1991,5.635342466,1003.3,594.0252824,N/A,3.932394366,0.021068493,0.083835616,0.006082192,0.002153022,2.421016739,1.142883103,3.563899842,6.765492836,5.403921621,1172.780705,N/A,1.348272051,N/A,N/A,0.000661388,0.001145888,115.2214
1992,4.509562842,877.1,456.9962376,N/A,4.185,0.011901639,0.074918033,0.005763934,0.00189961,3.530721801,1.729063379,5.25978518,11.92552294,4.406405822,960.940839,N/A,1.531926493,N/A,N/A,0.000345749,0.001252662,123.1081
1993,3.590410959,997.8,617.7177971,N/A,4.332075472,0.014113208,0.059886792,0.004879245,0.001651374,2.964235431,1.111411993,4.075647424,7.547203255,3.600579173,1164.908061,N/A,0.421167653,N/A,N/A,0.000556175,0.000279771,111.2433
1994,3.209041096,911.5,514.9817158,N/A,4.336734694,0.010163265,0.084816327,0.005559184,0.001366203,3.366576746,0.737356338,4.103933084,4.279427969,3.163114986,1045.795836,N/A,0.647998536,N/A,N/A,0.000650669,0.000370428,112.65025
1995,5.125479452,1040.3,601.9441832,2.993636364,4.278,0.0074,0.0768,0.005765789,0.002103292,5.047125547,1.362774235,6.409899782,6.013615893,4.972977507,1078.245304,0.124857543,0.398193944,0.00022211,0.008199583,0.000666771,0.00027297,103.83815
1996,3.746448087,1249.2,813.5019016,2.825555556,4.757142857,N/A,N/A,0.007109091,0.002604608,15.99040064,1.672839952,17.66324059,12.02873567,3.497256718,1200.289809,0.165501457,0.261766882,N/A,N/A,0.000353845,0.000144605,122.6577
