WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1981,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.431668466,1179.820367,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1982,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.623200849,1122.284304,N/A,N/A,N/A,N/A,N/A,N/A,107.9808
1983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.752714158,1257.909903,N/A,N/A,N/A,N/A,N/A,N/A,110.6844
1984,N/A,879.84,1014.482647,N/A,N/A,N/A,N/A,N/A,N/A,1.757492697,0.949636771,2.707129468,4.84881015,4.258189232,1122.980704,N/A,N/A,N/A,N/A,N/A,N/A,104.2994
1985,5.178630137,1109.8,771.9808484,N/A,N/A,N/A,N/A,N/A,N/A,4.203976059,1.280319223,5.484295282,19.78946855,4.665644615,1198.309815,N/A,5.376560126,N/A,N/A,0.003780614,1.749453,113.2518
1986,5.044383562,1192.5,716.7322815,N/A,13.9,N/A,N/A,0.033460417,1.659747,5.303179861,2.148726047,7.451905908,14.08779163,4.390401075,1197.077047,N/A,4.475916646,N/A,N/A,0.003111605,1.129725,120.66635
1987,5.568767123,944.5,459.3452622,N/A,13.65945946,N/A,N/A,0.039436735,1.391668,7.693135458,2.730609129,10.42374459,21.14834457,4.781193534,1001.027565,N/A,4.672343112,N/A,N/A,0.004033911,0.76284,119.65085
1988,5.398907104,958.2,524.5060444,N/A,15.9673913,N/A,N/A,0.04781875,2.738797,4.188154297,1.488719403,5.6768737,10.01529629,4.869579359,1029.548925,N/A,3.310405344,N/A,N/A,0.003239675,1.140357,109.40715
1989,5.267123288,962.7,500.537606,N/A,15.04861111,N/A,N/A,0.043286,2.180531,1.963225603,0.954846144,2.918071747,10.47749745,4.310009739,1077.352813,N/A,3.978675721,N/A,N/A,0.00267474,1.210119,110.8641
1990,5.048219178,839,459.0616608,N/A,14.3755102,N/A,N/A,0.047857143,3.346874,4.605871466,1.667324278,6.273195744,9.484661677,4.335410831,997.462155,N/A,4.310960603,N/A,N/A,0.003109012,1.348454,119.14035
1991,5.635342466,1003.3,604.7815318,N/A,12.61776316,N/A,N/A,0.029125532,2.696682,2.421016739,1.142883103,3.563899842,6.765492836,5.418084099,1168.110889,N/A,3.864273893,N/A,N/A,0.001797857,1.198061,115.2214
1992,4.509562842,877.1,474.6725671,N/A,12.92068966,N/A,N/A,0.0341,2.498369,3.530721801,1.729063379,5.25978518,11.92552294,4.420266736,957.6389251,N/A,3.789607008,N/A,N/A,0.00193927,1.12076,123.1081
1993,3.590410959,997.8,660.1636157,N/A,13.09242424,N/A,N/A,0.022126,1.759287,2.964235431,1.111411993,4.075647424,7.547203255,3.616635538,1159.917148,N/A,1.231825207,N/A,N/A,0.00150247,0.212762,111.2433
1994,3.209041096,911.5,536.2158276,N/A,10.74117647,N/A,N/A,0.01778,1.902336,3.366576746,0.737356338,4.103933084,4.279427969,3.18091899,1042.16191,N/A,2.096784848,N/A,N/A,0.002001238,0.327662,112.65025
1995,5.125479452,1040.3,621.5428269,N/A,11.85625,N/A,N/A,0.013828571,1.669357,5.047125547,1.362774235,6.409899782,6.013615893,4.991674476,1074.738227,N/A,1.035978508,N/A,N/A,0.001193965,0.221533,103.83815
1996,3.746448087,1249.2,849.8178278,2.153428571,14.72285714,0.048542857,0.051171429,0.02688,1.190719,15.99040064,1.672839952,17.66324059,12.02873567,3.512796007,1194.368159,0.178720074,1.018736563,0.002392153,0.008487632,0.001449558,0.125014,122.6577
1997,4.13369863,1185.9,830.7984889,2.297021277,13.3875,0.048869565,0.084583333,0.026597959,1.312258,3.29355457,1.132424828,4.425979398,7.732381063,4.039702245,1263.929201,0.398659851,2.41062684,0.006026463,0.021093329,0.003910729,0.288337,103.75755
1998,5.875890411,743.7,339.9953687,3.614117647,14.496,0.062647059,0.075882353,0.029128,2.571583,2.786647511,1.282460972,4.069108483,8.680130578,5.821359063,814.512618,0.40758798,1.358024751,0.006088296,0.042178831,0.002865338,0.36806,136.41085
1999,5.665205479,684.1,270.8457228,4.174736842,17.73684211,0.062947368,0.070315789,0.028031579,3.396872,2.171563651,0.777872975,2.949436626,4.752778379,5.786131235,860.8424321,0.493695413,1.803208815,0.003168144,0.017357333,0.002190386,0.453238,116.6934
2000,5.466939891,1041,485.1328725,3.144242424,17.96363636,0.039090909,0.059818182,0.028648485,1.602787,3.776651055,1.09375772,4.870408775,5.229789483,5.786450592,1120.895226,0.226339131,1.059712683,0.002178369,0.00602691,0.00146327,0.132977,120.3037
2001,4.484931507,950.5,356.8217931,2.758823529,17.22058824,0.0464375,0.044375,0.02615625,1.29429,10.61181208,3.175889468,13.78770155,12.95735657,4.419347745,1001.090335,0.191917076,1.05671133,0.002194802,0.005918464,0.001259711,0.122168,121.01895
2002,6.076712329,1147.7,594.3706428,2.9328,16.1875,0.027384615,0.045923077,0.020907692,1.668082,1.957156913,1.411334672,3.368491585,18.49238077,6.011806818,1171.349297,0.155355579,0.737554878,0.000831948,0.003008651,0.000650938,0.0974,133.35525
2003,4.42,876.1,425.1099911,3.395348837,16.48378378,0.057255814,0.067069767,0.024702326,2.06373,3.259926326,1.139638612,4.399564938,6.711224083,4.028228249,947.6936001,0.311485062,1.483978146,0.004103604,0.013326777,0.001821523,0.246722,132.2988
2004,5.11147541,1072.9,586.1680667,2.851,15.81,0.07445,0.0598,0.025865,1.543416,3.773402185,0.956721538,4.730123723,5.799056448,4.690917027,1143.621211,0.333567456,1.755386648,0.004113897,0.011746822,0.002155519,0.249929,136.8985
2005,4.841917808,804.1,419.0697209,2.944210526,16.24210526,0.039842105,0.032,0.029618974,1.618083,8.475076626,1.872884083,10.34796071,14.08140906,4.284316644,889.3221392,0.302927246,1.241428627,0.003318705,0.005256482,0.001825321,0.24694,136.09
2006,6.327671233,964.8,493.3777176,5.011515152,15.82647059,0.028764706,0.039818182,0.022670588,4.43171,7.430698126,1.503300652,8.933998778,9.027154814,6.270963748,1064.422099,0.289072491,1.183514255,0.002002535,0.005755581,0.001376395,0.273974,124.859
2007,5.348767123,1063.7,600.7762342,2.894761905,17.0547619,0.043761905,0.038380952,0.0255,1.519593,1.68633245,0.677802937,2.364135387,4.535364928,5.27764211,1049.136965,0.370059066,2.069113772,0.003632892,0.007278276,0.002310775,0.254162,138.4765
2008,5.345933971,1016.5,602.3644184,3.420930233,14.60697674,0.027023256,0.03772093,0.01915814,2.429767,N/A,N/A,N/A,N/A,5.17886292,1183.001778,0.254243029,1.128442444,0.002098697,0.00619664,0.001154553,0.224348,140.8105
