Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1970,1.904407713,854.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,2.089473684,854.6,N/A,2.770405405,19.08206897,0.012242435,0.00845488,0.016717742,1.36861295,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,1.647260274,775.4,379.3047392,2.618333333,17.03785714,0.012118744,0.007085625,0.0127,1.630523871,N/A,N/A,N/A,N/A,N/A,N/A,0.33333844,2.753373196,0.001962789,0.000949039,0.001962427,0.148151647,N/A
1973,2.38109589,740.2,248.6272349,2.619333333,17.7,0.01164766,0.006798761,0.011483871,1.602278576,N/A,N/A,N/A,N/A,N/A,N/A,0.316080877,1.725686571,0.001483552,0.000756271,0.001314794,0.00285953,N/A
1974,1.246986301,730.2,464.4242169,3.201875,15.67285714,0.023052661,0.013666748,0.0165,2.662761031,N/A,N/A,N/A,N/A,N/A,N/A,0.446733898,3.330227959,0.004164496,0.00178924,0.00259682,0.468160727,N/A
1975,2.653287671,671.3,293.8132042,3.269302326,15.11771429,0.016758184,0.033506254,0.017883721,2.34597183,N/A,N/A,N/A,N/A,N/A,N/A,0.887830822,5.183481487,0.006799118,0.01552627,0.006208585,0.848635349,N/A
1976,3.159699454,533.6,179.5327929,3.667272727,15.07454545,0.014929044,0.03360384,0.017969697,2.099956012,N/A,N/A,N/A,N/A,N/A,N/A,0.468305503,2.375373217,0.00331703,0.006484657,0.002870028,0.378659583,N/A
1977,1.759641873,709.2,229.2133463,3.8534375,17.98125,0.031739875,0.02913361,0.01734375,2.130112534,N/A,N/A,N/A,N/A,N/A,N/A,0.511728575,2.859937598,0.007863062,0.006635211,0.002665854,0.379912758,N/A
1978,1.988292011,763.2,312.0629903,3.64,19.028,0.013718356,0.008034391,0.016533333,1.965016642,N/A,N/A,N/A,N/A,N/A,N/A,0.455033958,3.044230177,0.003090455,0.001283802,0.002589411,0.382317972,N/A
1979,0.658630137,488.3,160.8340704,3.484666667,16.7552,0.017807979,0.010978578,0.012928571,1.85152191,N/A,N/A,N/A,N/A,N/A,N/A,0.344462188,1.7147926,0.003049588,0.001948951,0.00137384,0.235262617,N/A
1980,2.412181303,624.4,179.261343,4.391875,18.6652,0.019283349,0.010037342,0.013966667,3.534192588,N/A,N/A,N/A,N/A,4.000545963,448.8266034,0.482093768,1.604547467,0.001786608,0.00118724,0.001319161,0.457950798,N/A
1981,3.396575342,638.8,163.6581935,4.082,22.344,0.018325653,0.007093155,0.012,2.710521258,7.650118,5.91937932,13.9992466,14.93248326,2.484202985,581.5876666,0.057758923,0.372504864,0.000254618,0.000120979,0.000165864,0.042728195,N/A
1982,1.995205479,684.4,269.7637864,N/A,N/A,N/A,N/A,N/A,N/A,4.84270995,3.609892392,8.48643755,8.303636808,0.978541274,618.4225265,N/A,N/A,N/A,N/A,N/A,N/A,88.8543
1983,4.29501385,571.3,230.3095863,3.302,15.168,0.026711968,0.010767741,0.0134,2.243190006,7.080259294,7.513365806,14.5936251,12.00970437,3.356579526,546.8849986,0.295105663,1.374916492,0.002022834,0.000725367,0.001322564,0.210116856,87.4982
1984,3.074453552,523.5,111.6859765,4.834,11.4,0.013511286,0.013056827,0.0076,5.234110015,1.5978888,2.0838944,3.6817832,2.958051934,2.255030612,504.7172294,0.026842253,0.063586819,7.03015E-05,5.96443E-05,4.13648E-05,0.029034044,94.3049
1985,2.225342466,958.1,416.9756796,3.537857143,17.69571429,0.041265997,0.014780096,0.013785714,1.461602332,3.750031619,3.485116444,7.235148063,3.503484792,1.426340348,821.0255256,0.692213858,4.084311792,0.009263534,0.008627489,0.003755429,0.30581711,103.4731
1986,2.493424658,633.3,223.0796224,3.490588235,17.2125,0.029701534,0.009741794,0.01,1.580679232,6.22494415,6.490383372,12.88342123,6.320042265,1.636616603,620.9512171,0.157319231,0.711763935,0.00122413,0.00031936,0.000686479,0.074463548,107.8806
1987,4.706849315,511.9,104.6543799,4.212307692,25.88307692,0.020547668,0.015882273,0.011076923,1.499751822,1.58472,1.340192,2.924912,1.788142891,3.973138236,511.6945615,0.376288408,2.45688747,0.001986981,0.002990787,0.001247805,0.094752663,97.2033
1988,3.462225275,605.1,96.20289141,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.631519698,553.597232,N/A,N/A,N/A,N/A,N/A,N/A,86.1673
