Year,Month,WaterYear,WaterYearMonth,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL
1970,10,1971,197110,5.115,127,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1970,11,1971,197111,-4.543333333,40.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1970,12,1971,197112,-15.1516129,60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,1,1971,19711,-20.95178571,21.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,2,1971,19712,-12.29464286,17.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,3,1971,19713,-6.211290323,41.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,4,1971,19714,2.716666667,59.7,N/A,1.04,N/A,0.001708324,0.000518433,0.022865385,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,5,1971,19715,9.075806452,62.9,N/A,2.033333333,44.04,0.007376852,0.000539893,0.031,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,6,1971,19716,17.41333333,150.6,N/A,1.224285714,26.00571429,0.011007039,0.00187946,0.018555556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,7,1971,19717,16.53387097,89,N/A,1.475714286,28.84,0.010957429,0.004191638,0.012444444,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,8,1971,19718,17.40645161,56.4,N/A,2.11375,19.02,0.024589505,0.002409564,0.0175,1.502136165,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,9,1971,19719,13.09666667,128,N/A,1.768,26.58,0.013231742,0.002575222,0.01465,1.719111389,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,10,1972,197210,6.869354839,96.1,49.79655568,1.61,32.88,0.014753703,0.001430679,0.012333333,1.502136165,N/A,N/A,N/A,N/A,N/A,N/A,0.125876494,2.821553785,0.000669006,8.57E-05,0.001039841,0.016457667
1971,11,1972,197211,-4.246666667,65,42.45602755,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,12,1972,197212,-13.85806452,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,1,1972,19721,-21.85,30.2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,2,1972,19722,-17.60172414,22.6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,3,1972,19723,-7.380645161,34.7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,4,1972,19724,1.785,12.3,35.31389208,0.82,16.32,0.001708324,0.00067769,0.015,1.301851343,N/A,N/A,N/A,N/A,N/A,N/A,0.079466292,1.581573034,0.000165554,6.57E-05,0.001453652,0.12616256
1972,5,1972,19725,13.94166667,52.5,29.26291619,1.011666667,21.408,0.01452075,0.000736423,0.018,1.335232147,N/A,N/A,N/A,N/A,N/A,N/A,0.243152542,5.018033898,0.003001806,0.000166888,0.004740678,0.21516474
1972,6,1972,19726,16.995,67.6,9.919632606,1.275,21.72,0.031836939,0.00338845,0.0145,1.969467416,N/A,N/A,N/A,N/A,N/A,N/A,0.2526,3.489,0.002213055,0.0002835,0.00215,0.295420112
1972,7,1972,19727,17.15967742,147.1,39.33134328,1.365,21.54,0.015141959,0.003049605,0.012,1.602278576,N/A,N/A,N/A,N/A,N/A,N/A,0.336696091,4.258562421,0.002987559,0.000310786,0.002472888,0.04647214
1972,8,1972,19728,17.89516129,116.9,36.05786452,1.53,26.07,0.00869692,0.001626456,0.012,1.618968978,N/A,N/A,N/A,N/A,N/A,N/A,0.361237964,4.874112792,0.001251816,0.000280895,0.002277854,0.258001012
1972,9,1972,19729,9.785,106.4,26.4358209,1.545,20.82,0.003494298,0.001016535,0.01125,1.669040183,N/A,N/A,N/A,N/A,N/A,N/A,0.138761726,2.091557223,0.00028846,9.41E-05,0.000954972,0.021919852
1972,10,1973,197310,2.858064516,33.2,13.73869116,1.4275,25.29,0.006988596,0.000790638,0.012,1.702420987,N/A,N/A,N/A,N/A,N/A,N/A,0.184801444,3.052418773,0.000650363,7.99E-05,0.001375451,0.018437772
1972,11,1973,197311,-5.496666667,60.7,9.969230769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,12,1973,197312,-17.90322581,25.9,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1973,1,1973,19731,-13.05322581,5.8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1973,2,1973,19732,-13.4875,23.7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1973,3,1973,19733,-1.338709677,41.6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1973,4,1973,19734,1.985,47.8,35.11549943,1.185,28.02,0.012424171,0.00135538,0.0205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.08069209,1.880169492,0.000765543,0.000101462,0.001368644,N/A
1973,5,1973,19735,10.11774194,46.8,16.11940299,1.126,24.576,0.020499882,0.001581277,0.0134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.153076923,3.053538462,0.0023367,0.000185583,0.001806154,N/A
1973,6,1973,19736,15.17,94,22.61676234,1.21,25.86,0.024071832,0.003106079,0.013,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.145833333,3.113947368,0.00179483,0.000483994,0.001372807,N/A
1973,7,1973,19737,18.06451613,134.2,33.62755454,1.298,34.08,0.014443099,0.001761994,0.0176,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.105162242,2.651327434,0.000963194,0.00013827,0.001818584,N/A
