Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1970,1.904407713,854.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,2.089473684,854.6,N/A,1.492,27.46857143,0.011088573,0.002160024,0.018833333,1.646786314,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,1.647260274,775.4,292.9898758,1.337407407,23.304,0.001753293,0.013740741,1.337407407,0.014017456,N/A,N/A,N/A,N/A,N/A,N/A,0.1966152,3.138696611,0.001290593,0.000158172,0.001891317,0.105972505,N/A
1973,2.38109589,740.2,187.3818599,1.31037037,30.08142857,0.001815241,0.013714286,1.31037037,0.015890737,N/A,N/A,N/A,N/A,N/A,N/A,0.167435151,3.339481207,0.001564531,0.000245688,0.001530439,0.001351843,N/A
1974,1.246986301,730.2,264.7053961,1.479259259,21.944,0.001748608,0.017703704,1.479259259,0.023496639,N/A,N/A,N/A,N/A,N/A,N/A,0.33222597,1.168332771,0.004273792,0.000317999,0.003284429,0.398787083,N/A
1975,2.653287671,671.3,218.727899,1.51375,24.4304,0.005428579,0.05009375,1.51375,0.026862417,N/A,N/A,N/A,N/A,N/A,N/A,0.2800839,4.37572517,0.004224676,0.000995841,0.008432426,0.447817484,N/A
1976,3.159699454,533.6,147.5049369,1.827142857,25.42114286,0.004356579,0.051047619,1.827142857,0.046220875,N/A,N/A,N/A,N/A,N/A,N/A,0.292535306,4.20396234,0.005999811,0.000436754,0.009108944,0.420212013,N/A
1977,1.759641873,709.2,197.9462687,2.418571429,27.75,0.003654685,0.025857143,2.418571429,0.032863042,N/A,N/A,N/A,N/A,N/A,N/A,0.317877725,5.032302681,0.005799607,0.000479528,0.004420947,0.426121725,N/A
1978,1.988292011,763.2,246.7508611,1.892758621,33.94344828,0.001103622,0.029724138,1.892758621,0.016869026,N/A,N/A,N/A,N/A,N/A,N/A,0.24960201,4.26678995,0.002899702,7.17802E-05,0.00330191,0.374012615,N/A
1979,0.658630137,488.3,112.4390356,1.613333333,35.825,0.001562452,0.02875,1.613333333,0.022712938,N/A,N/A,N/A,N/A,N/A,N/A,0.074874283,1.686113807,0.001112873,4.04561E-05,0.001071901,0.101511804,N/A
