Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1970,1.904407713,854.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,2.089473684,854.6,N/A,1.480266667,16.85333333,0.013008242,0.006838584,0.011956349,1.090439586,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,1.647260274,775.4,354.7962098,1.547666667,14.9,0.004796539,0.009066667,1.547666667,0.012434525,N/A,N/A,N/A,N/A,N/A,N/A,0.195583782,2.243690277,0.001051405,0.195583782,0.001161416,0.121912435,N/A
1973,2.38109589,740.2,230.2177215,1.324333333,15.48,0.003286432,0.006612903,1.324333333,0.011096588,N/A,N/A,N/A,N/A,N/A,N/A,0.166293858,1.507643027,0.001112884,0.166293858,0.000805972,0.001617502,N/A
1974,1.246986301,730.2,271.8865823,1.492333333,13.73555556,0.004623352,0.007266667,1.492333333,0.013071263,N/A,N/A,N/A,N/A,N/A,N/A,0.291518791,3.432104816,0.003362307,0.291518791,0.002169406,0.403792248,N/A
1975,2.653287671,671.3,182.1118264,1.541428571,13.63709091,0.003859606,0.008114286,1.541428571,0.010449615,N/A,N/A,N/A,N/A,N/A,N/A,0.303488332,2.846130062,0.002473163,0.303488332,0.001566489,0.388386911,N/A
1976,3.159699454,533.6,139.3649186,1.65,12.46224,0.006523896,0.00756,1.65,0.008199953,N/A,N/A,N/A,N/A,N/A,N/A,0.213804933,1.957654709,0.001354976,0.213804933,0.001256502,0.293818433,N/A
1977,1.759641873,709.2,139.9742495,1.951851852,17.24888889,0.018724323,0.011222222,1.951851852,0.027954385,N/A,N/A,N/A,N/A,N/A,N/A,0.339401719,3.087625851,0.006288965,0.339401719,0.00210682,0.411658077,N/A
1978,1.988292011,763.2,244.1883018,1.652333333,17.864,0.001148767,0.007666667,1.652333333,0.009344012,N/A,N/A,N/A,N/A,N/A,N/A,0.294497425,3.098923609,0.002499163,0.294497425,0.001414897,0.417287123,N/A
1979,0.658630137,488.3,144.6301627,1.591428571,16.08,0.003420721,0.006428571,1.591428571,0.016084864,N/A,N/A,N/A,N/A,N/A,N/A,0.083327212,0.813529221,0.001167241,0.083327212,0.000297181,0.1015163,N/A
1980,2.412181303,624.4,135.3964557,2.924666667,18.67971429,0.005877839,0.006678571,2.924666667,0.015613412,N/A,N/A,N/A,N/A,4.059357974,448.8266034,0.459026079,2.482321717,0.002010362,0.459026079,0.00084018,0.598566421,N/A
1981,3.396575342,638.8,185.4084629,3.004482759,18.57517241,0.07640076,0.007586207,3.004482759,0.025844418,7.650118,5.91937932,13.9992466,14.93248326,2.546727127,581.5876666,0.324648184,1.817746693,0.002033441,0.324648184,0.000845201,0.446943279,N/A
1982,1.995205479,684.4,243.2480289,2.28,16.38857143,0.010397517,0.008241379,2.28,0.01195291,4.84270995,3.609892392,8.48643755,8.303636808,1.036142636,618.4225265,0.288542617,1.98689447,0.002085192,0.288542617,0.001086775,0.449460547,170.7974
1983,4.29501385,571.3,200.3605063,2.073478261,13.55478261,0.010676073,0.008043478,2.073478261,0.028258237,7.080259294,7.513365806,14.5936251,12.00970437,3.415347698,546.8849986,0.345364161,2.394675608,0.003317973,0.345364161,0.001400499,0.503229151,91.9185
1984,3.074453552,523.5,102.0863653,3.106,13.752,0.012243599,0.0068,3.106,0.012268869,1.5978888,2.0838944,3.6817832,2.958051934,2.317509865,504.7172294,0.004876033,0.021597796,1.68755E-05,0.004876033,1.0101E-05,0.006089672,88.6758
1985,2.225342466,958.1,354.7087161,2.067931034,19.81241379,0.003973616,0.010482759,2.067931034,0.0357784,3.750031619,3.485116444,7.235148063,3.503484792,1.481789535,821.0255256,0.568853015,6.226415892,0.007369987,0.568853015,0.004230102,0.35382505,103.4216
1986,2.493424658,633.3,197.2982278,1.981875,16.48,0.006054031,0.006859375,1.981875,0.028161455,6.22494415,6.490383372,12.88342123,6.320042265,1.691418311,620.9512171,0.097967216,0.575815648,0.001349793,0.097967216,0.000540545,0.087652365,96.9036
1987,4.706849315,511.9,129.6156239,2.563333333,35.216,0.006641362,0.010466667,2.563333333,0.029300337,1.58472,1.340192,2.924912,1.788142891,4.028220308,511.6945615,0.154535921,2.315033751,0.002309689,0.154535921,0.000566779,0.084353323,103.7557
1988,3.462225275,605.1,124.9284629,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.690543815,553.597232,N/A,N/A,N/A,N/A,N/A,N/A,92.6029
1989,2.42260274,634,200.3917541,2.906388889,20.71333333,0.087297276,0.010888889,2.906388889,0.017428351,9.352069726,7.857642983,17.20971271,8.704613364,1.559377397,596.5786955,1.218485888,12.14973335,0.004579512,1.218485888,0.006515126,0.915211535,93.7788
1990,2.473287671,536.5,93.60260398,3.16625,22.08,0.065872982,0.009875,3.16625,0.040249138,3.422751333,2.758090667,6.180842,3.521441121,1.884702676,533.5080134,0.816531464,7.241201803,0.007417356,0.816531464,0.002296612,0.594170505,102.4033
1991,3.494505495,725.3,169.3471248,2.640357143,19.75714286,0.029509228,0.008857143,2.640357143,0.031698276,1.432768629,1.184798743,2.617567371,1.626411752,2.914148829,660.5107789,0.908334717,7.048059784,0.009945269,0.908334717,0.003112372,0.748126051,104.9893
1992,1.859289617,906.2,468.1848825,1.9475,16.64076923,0.010703709,0.007307692,1.9475,0.022160421,3.140935816,2.731387224,5.872323041,4.276331305,1.479170718,723.6919848,0.397640326,3.815087766,0.006090761,0.397640326,0.001897617,0.335166395,105.5467
1993,2.211538462,648,194.7515371,1.878055556,19.45,0.016382559,0.008611111,1.878055556,0.020448115,0.1953,0.42966,0.62496,0.673657999,1.511900951,604.4926184,0.303256318,3.151826715,0.003472339,0.303256318,0.001415804,0.159871421,93.4852
1994,1.752054795,671.7,187.1895841,1.685,18.63,0.005816839,0.01025,1.685,0.01339481,N/A,N/A,N/A,N/A,1.175711648,584.7251429,0.006491111,0.071182706,4.98403E-05,0.006491111,3.93957E-05,0.002296341,122.323
1995,3.905906593,603.9,189.8612658,1.774,16.6725,0.005590942,0.0065,1.774,0.021062853,N/A,N/A,N/A,N/A,3.232719686,607.8911158,0.102603687,1.159542462,0.001676284,0.102603687,0.000446346,0.077008514,97.4614
1996,1.138049451,920.7,344.2875949,1.952666667,21.05806452,0.004853492,0.008709677,1.952666667,0.017008089,N/A,N/A,N/A,N/A,0.282719481,732.3083955,0.532386095,6.076467598,0.005873058,0.532386095,0.002780859,0.270386479,95.1298
1997,1.799315068,724.9,326.6638698,1.60375,18.315,0.001663235,0.00825,1.60375,0.015967001,N/A,N/A,N/A,N/A,1.19233648,645.1896138,0.077652095,0.8631586,0.000658036,0.077652095,0.000299503,0.03725389,124.8292
1998,5.334246575,656.5,188.642604,2.180588235,18.93176471,0.009477614,0.007411765,2.180588235,0.014570995,N/A,N/A,N/A,N/A,4.748727983,576.1889776,0.161507371,1.636468445,0.001015432,0.161507371,0.000553089,0.088043874,126.6703
1999,3.977209945,861.9,386.0033273,1.859565217,22.93565217,0.00175783,0.010217391,1.859565217,0.019210199,N/A,N/A,N/A,N/A,3.521177111,817.7077185,0.120394236,1.425015786,0.00112331,0.120394236,0.000703351,0.054290893,110.1097
2000,3.80942623,842.7,382.1129837,1.522307692,20.20153846,0.003944929,0.006336538,1.522307692,0.028641298,N/A,N/A,N/A,N/A,3.51028526,689.5068475,0.214123973,2.943687288,0.003388491,0.214123973,0.000892158,0.053135628,114.28475
2001,3.293956044,858.9,422.0632188,1.424814815,18.35555556,0.004042061,0.006481481,1.424814815,0.021799819,N/A,N/A,N/A,N/A,2.775006071,805.0268903,0.170677056,2.288289035,0.002266121,0.170677056,0.000923521,0.046715455,110.5967
2002,3.734203297,731.9,335.6319711,1.464642857,18.64585714,0.005200149,0.006678571,1.464642857,0.021243114,N/A,N/A,N/A,N/A,3.3475674,724.3129578,0.115523694,1.424172982,0.00182951,0.115523694,0.000517317,0.042490832,91.8959
2003,2.514423077,566.4,111.7106691,1.614117647,17.80164706,0.015218047,0.006588235,1.614117647,0.025213759,N/A,N/A,N/A,N/A,2.045349323,554.3602393,0.103213986,1.210951049,0.001757521,0.103213986,0.000391329,0.036199731,115.2132
2004,2.222677596,858.4,473.5907414,1.6924,20.73408,0.00138293,0.0066,1.6924,0.014443099,N/A,N/A,N/A,N/A,1.950661841,745.6093686,0.114111243,1.522732383,0.00083935,0.114111243,0.000482515,0.041073189,116.0693
2005,3.389041096,729.3,293.1194213,1.504444444,20.532,0.00072663,0.009444444,1.504444444,0.01587533,N/A,N/A,N/A,N/A,3.05099264,728.9824356,0.148855605,2.032546453,0.001274386,0.148855605,0.000655136,0.048628755,120.1034
2006,5.097527473,599.8,156.3949367,1.835384615,22.956,0.007437213,0.012666667,1.835384615,0.021324178,N/A,N/A,N/A,N/A,4.537267188,566.0745158,0.121265734,1.509928472,0.00107098,0.121265734,0.000946354,0.05827568,116.7472
2007,3.654109589,789.7,295.2755154,2.145789474,21.76863158,0.007259724,0.012315789,2.145789474,0.02734135,N/A,N/A,N/A,N/A,3.038069775,676.781892,0.164888089,1.726289433,0.00197466,0.164888089,0.000747129,0.077903791,96.2354
2008,2.358219178,790.4,371.5981193,1.575882353,16.45905882,0.002484863,0.006588235,1.575882353,0.034212148,N/A,N/A,N/A,N/A,1.693664139,678.0785987,0.070747141,0.576040868,0.003473958,0.070747141,0.00027447,0.034074553,102.3347
2009,2.061977716,833.3,430.2657505,1.567826087,18.1826087,0.001463899,0.006681818,1.567826087,0.018501211,N/A,N/A,N/A,N/A,1.488933894,734.3355822,0.099462217,1.154863721,0.001149441,0.099462217,0.000425433,0.04065515,99.8061
