WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH3NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH3Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH3NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1964,N/A,1966.7,1149.925384,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1965,N/A,2634.9,1572.687362,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1966,N/A,1718.3,884.7831201,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1967,N/A,1815.9,1070.961189,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1968,N/A,2124.4,1001.348769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1969,N/A,2183.7,1560.648952,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1970,N/A,1994.4,1151.5145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,N/A,2804.2,1752.634725,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,N/A,2792.2,1908.322349,2.43,N/A,0.017,0.001,0.034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.087209638,N/A,0.000695982,1.57E-05,0.001498739,N/A,N/A
1973,N/A,1605.9,684.0171964,2.02,N/A,0.001,0.001,0.052,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.095713092,N/A,0.000103358,4.23E-05,0.002528572,N/A,N/A
1974,N/A,2889.5,2142.734085,2.76,N/A,N/A,N/A,0.043,N/A,N/A,21.0078,N/A,N/A,N/A,N/A,0.197554755,N/A,N/A,3.81E-05,0.002881451,N/A,N/A
1975,N/A,1951.2,1354.315407,2.37,N/A,N/A,N/A,0.038,N/A,N/A,7.353,N/A,N/A,N/A,N/A,0.082726782,N/A,N/A,2.45E-07,0.001304984,N/A,N/A
1976,N/A,2367.4,1482.210652,3.32,N/A,N/A,0.007,0.037,N/A,N/A,13.1562,N/A,N/A,N/A,N/A,0.178771761,N/A,N/A,0.000294449,0.002317727,N/A,N/A
1977,N/A,1267,421.2757545,3.52,N/A,N/A,0.005,0.038,N/A,N/A,8.777333333,N/A,N/A,N/A,N/A,0.163371598,N/A,N/A,0.000290076,0.001840756,N/A,N/A
1978,N/A,2439.8,1356.236065,2.68,N/A,0.01,0.003,0.038,0.12,N/A,19.5156,N/A,N/A,N/A,N/A,0.242315856,N/A,N/A,0.000323493,0.003475015,N/A,N/A
1979,N/A,1771.7,1045.169496,3.5,N/A,0.011,0.002,0.034,0.16,14.40514286,33.62742857,48.03257143,138.3428571,N/A,N/A,0.237460868,N/A,0.000519487,0.000122477,0.00229619,0.009358791,N/A
1980,N/A,1966.9,963.3243135,3.14,N/A,0.009,0.002,0.039,0.17,16.62675,28.128,44.75475,N/A,N/A,N/A,0.191566661,N/A,0.000517493,0.000164582,0.002512805,6.05E-06,N/A
1981,N/A,2238.7,1098.079051,2.97,N/A,0.007,0.001,0.044,N/A,19.23436364,16.28454545,35.51890909,N/A,9.905416568,1760.38001,0.157401535,N/A,0.000631698,7.91E-06,0.002139824,N/A,N/A
