Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATPmgL,FWASO4SmgL,iNDVI
1963,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1964,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1965,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1966,N/A,2101.6656,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1967,N/A,1194.096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1968,N/A,994.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1969,N/A,1539.278,251.6994429,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1970,N/A,1412.978,275.765732,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,N/A,1837.904,439.9878058,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,N/A,1223.516,224.3824777,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1973,N/A,1593.908,321.4042252,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1974,N/A,1422.904,226.8318757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1975,N/A,1457.91,290.5317437,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1976,N/A,1338.442,198.359301,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1977,N/A,1286.758,210.1969398,9.479166667,N/A,N/A,0.0214375,0.01593125,0.803015625,N/A,N/A,N/A,N/A,N/A,N/A,0.124098774,N/A,0.000544952,0.000497686,N/A,0.093031096,N/A
1978,N/A,1298.658,170.0851107,12.76538462,N/A,N/A,0.039692308,0.0205,0.915045577,N/A,N/A,N/A,N/A,N/A,N/A,0.328895025,N/A,0.005116198,0.003402157,N/A,0.133336872,N/A
1979,N/A,1502.212,313.7678913,11.55384615,N/A,N/A,0.05275,0.009865385,0.815978077,N/A,N/A,N/A,N/A,N/A,N/A,0.495707947,N/A,0.005086162,0.001377932,N/A,0.123094483,N/A
1980,N/A,1404.77,347.7147029,9.163461538,N/A,N/A,0.0375,0.011211538,0.432003462,N/A,N/A,N/A,N/A,N/A,N/A,0.234741134,N/A,0.004267921,0.001350633,N/A,0.074478371,N/A
1981,N/A,1142.436,59.78921942,11.87115385,N/A,N/A,0.041346154,0.020384615,1.129190192,N/A,N/A,N/A,N/A,17.16576602,1029.366101,0.297862438,N/A,0.004140575,0.002663468,N/A,0.100733819,N/A
1982,N/A,1593.886,N/A,9.022727273,N/A,N/A,0.025,0.013227273,0.784820455,N/A,N/A,N/A,N/A,17.51501551,1292.825704,N/A,N/A,N/A,N/A,N/A,N/A,148.6777
1983,N/A,1516.524,N/A,7.94,N/A,N/A,0.004,0.0592,0.45288,N/A,N/A,N/A,N/A,17.63715937,1284.714028,N/A,N/A,N/A,N/A,N/A,N/A,156.9766
1984,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.41371143,1355.140977,N/A,N/A,N/A,N/A,N/A,N/A,161.7706
1985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.076780869,0.141890931,0.2186718,0.50251758,18.09346527,959.8848117,N/A,N/A,N/A,N/A,N/A,N/A,184.0845
1986,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.053777297,0.126833946,0.180611244,0.349754494,18.88211582,1079.12447,N/A,N/A,N/A,N/A,N/A,N/A,157.9331
1987,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.080877207,0.211556076,0.292433284,0.556318259,18.15972559,1447.847146,N/A,N/A,N/A,N/A,N/A,N/A,162.2646
1988,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.04550903,0.163956882,0.209465912,0.474228356,17.19439305,1107.238773,N/A,N/A,N/A,N/A,N/A,N/A,177.0355
1989,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.120332202,0.237906175,0.358238377,0.662208966,17.96848084,1176.357726,N/A,N/A,N/A,N/A,N/A,N/A,127.5965
1990,N/A,N/A,158.8742722,13.18582258,N/A,N/A,0.0995,0.007951613,0.636008516,0.117151763,0.191776783,0.308928547,0.523782003,18.77969106,970.1752605,0.358353968,N/A,0.002427114,0.000459921,N/A,0.015108081,169.6422
1991,N/A,N/A,616.4233165,12.08255882,N/A,N/A,0.034661538,0.008523077,0.338229141,0.136035081,0.267068133,0.403103214,0.777189177,19.16198973,1535.959677,0.333968573,N/A,0.003152885,0.000859697,N/A,0.013673663,166.6562
1992,N/A,N/A,369.3671301,9.49,N/A,N/A,0.048,0.0118,N/A,0.071163302,0.180554402,0.251717704,0.449438145,1.78E+01,1197.879409,0.000832732,N/A,1.65025E-05,6.27401E-06,N/A,2.45644E-05,179.28585
1993,N/A,N/A,676.8089476,12.44619048,N/A,N/A,0.039678571,0.022507143,N/A,0.114691597,0.242271194,0.356962791,0.540676787,18.01732775,1185.53298,N/A,N/A,N/A,N/A,N/A,N/A,179.56335
1994,18.80713497,N/A,N/A,16.04960784,N/A,N/A,0.031314286,0.039648077,N/A,0.128378131,0.214827106,0.343205237,0.511928635,17.87663663,1241.371361,N/A,N/A,N/A,N/A,N/A,N/A,193.05
1995,19.06452016,N/A,N/A,6.799230769,N/A,N/A,N/A,0.012153846,N/A,0.153100252,0.226575495,0.379675747,0.5611065,18.53457545,1524.404481,N/A,N/A,N/A,N/A,N/A,N/A,184.448
1996,13.96581837,N/A,453.4503428,N/A,N/A,N/A,N/A,N/A,N/A,0.119691519,0.216508826,0.336200345,0.444047757,17.55153301,1231.740976,N/A,N/A,N/A,N/A,N/A,N/A,169.0219
1997,19.09124031,N/A,485.0916825,N/A,N/A,N/A,N/A,N/A,N/A,0.11306972,0.196732547,0.309802267,0.426968409,17.86130307,1259.546034,N/A,N/A,N/A,N/A,N/A,N/A,196.1598
