WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,N/AMGridTempC,N/AMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1992,3.895430115,1168.908,637.3091971,49.46799715,1.892891373,0.036476937,0.314033128,N/A,5.383617195,1.88597386,3.639044466,5.525018326,6.219327215,9.37750014,1041.19001,13.42732859,0.533618535,0.009069381,0.126789243,N/A,1.571440015,137.98005
1993,4.325208207,1277.112,654.6543872,50.03647078,1.931152834,0.022357845,0.281826935,N/A,5.343606597,1.719990727,4.561044926,6.281035653,7.78637734,9.442499995,1095.570011,13.82451592,0.772575591,0.008317366,0.085406105,N/A,1.546524037,134.0265
1994,4.559621575,1211.854357,720.748313,37.9017766,1.88033914,0.014947687,0.234467701,N/A,4.632866185,4.007374953,4.007084357,8.01445931,7.530831431,8.946666747,1194.720001,11.63665575,0.689019996,0.004786692,0.075793922,N/A,1.469866845,138.5701
1995,5.644529375,983.234,503.2615201,81.88864439,3.612680809,0.160328399,0.421884769,N/A,9.043612513,4.455639996,3.444804702,7.900444698,5.458589095,10.55500012,929.579998,16.75872218,0.96075297,0.020367144,0.161575031,N/A,1.977408898,138.40215
1996,3.98400273,1542.605044,1075.504731,36.32198533,1.761310768,0.018694608,0.205454049,N/A,3.879899878,4.102813921,4.465240548,8.568054469,7.374928665,9.184166541,1440.519985,7.257922513,0.473889129,0.007340739,0.06336864,N/A,0.885405773,133.58975
1997,3.792842788,1383.420633,849.0688296,30.70326155,2.061662746,0.011660599,0.182316589,N/A,3.147664817,2.246164637,4.727794829,6.973959466,7.099035048,9.230833366,1265.379997,10.26880236,0.635248853,0.004952484,0.085754452,N/A,1.110509538,140.6342
1998,5.492186825,1433.068,868.4916907,19.46056451,0.985358273,0.012404059,0.090486318,N/A,1.850276386,2.602816592,3.705516214,6.308332806,5.713774317,10.93416649,1295.579998,9.647231586,0.625576317,0.006484888,0.055182233,N/A,0.94476652,150.03585
1999,5.706552267,1209.294,579.7172735,212.8732273,8.093507933,0.123528473,0.382099254,N/A,18.57250728,3.184128506,3.786673459,6.970801965,5.744656129,11.23166657,1116.209999,16.62186111,0.930539807,0.00532156,0.083660676,N/A,1.58884556,136.4604
2000,4.517278684,1204.844165,891.3776745,45.90353322,2.269123552,0.008866551,0.235446639,N/A,4.43573474,4.029074173,4.28839143,8.317465603,8.228650399,9.851666679,1240.580002,10.33558531,0.581672634,0.002484918,0.063071998,N/A,1.11731584,135.02275
2001,3.555628553,1043.269207,634.8483184,500.4140114,43.42831717,0.740734016,2.585266791,N/A,48.45895229,1.696307006,3.081742835,4.778049841,4.460669171,9.997499958,993.1099968,14.9839099,0.999167804,0.01119165,0.134874363,N/A,1.639046533,135.49045
2002,5.372005788,1372.599941,767.9812215,246.1310313,9.382031881,0.044564646,1.08046144,N/A,28.13277732,2.126478317,4.92898279,7.055461107,8.235100023,11.32749992,1193.239994,11.82393494,0.813717813,0.003255288,0.084375218,N/A,1.828859214,135.694
2003,3.680982298,1174.273843,637.5885168,52.94139448,2.513173516,0.013978702,0.189285669,N/A,5.341957207,1.649880412,2.955449294,4.605329707,5.547850067,9.166666488,1029.110001,14.15944573,0.816215139,0.004784502,0.07568201,N/A,1.535214977,148.0077
2004,4.113828239,1431.748351,940.75,28.82448423,0.591200361,0.009443485,0.091213336,N/A,2.617397504,1.56103133,3.330413523,4.891444853,5.781142141,9.589999934,1332.610004,23.89826174,0.342457559,0.008842534,0.091294826,N/A,2.301456944,149.60365
2005,5.105135352,1224.407679,698.548,51.9238475,2.057583835,0.037180603,0.073275352,N/A,3.994186762,3.179021504,2.792217683,5.971239187,5.260909586,10.3858332,1120.420002,20.23797289,0.508558453,0.024370398,0.054868876,N/A,1.733041853,147.93355
2006,5.011513245,1684.447952,1134.186,18.81587554,0.794847375,0.001132983,0.044891531,0.011587903,1.395463531,0.937827365,1.949115122,-18.11305751,3.946176248,10.43916683,1483.710014,7.896915409,0.434766343,0.000683454,0.020758139,0.003559101,0.612559889,147.22355
2007,4.641473725,1412.223241,937.658,41.53196988,1.627211957,0.002370177,0.183429915,0.006308221,3.094881567,2.353483685,2.660001394,5.013485079,5.460290877,10.04666656,1250.069996,9.722495835,0.454711739,0.000702789,0.065556094,0.001309975,0.771855288,141.0815
2008,4.731405137,1633.102928,1139.264,25.66885279,1.034163113,0.006284524,0.079924054,N/A,1.865967251,1.74900524,2.752844639,4.50184988,5.70477981,10.32500019,1447.320004,8.358642071,0.411739509,0.002022202,0.040157747,N/A,0.65146367,148.59225
2009,4.060913228,1337.288323,823.344,40.72468487,0.923398531,0.019299778,0.079599414,N/A,2.91391122,1.869612438,2.043016859,3.912629297,2.908225016,9.679999848,1224.120003,11.47679463,0.3584407,0.009877958,0.036934354,0.004591034,0.846107306,149.5245
2010,6.020147856,1348.81485,778.079,49.21531743,2.097067713,0.005773158,0.124729049,N/A,4.246559788,1.819910979,1.786007518,3.605918497,3.40550098,10.93000003,1231.299995,11.75547727,0.629884626,0.002617616,0.033560032,N/A,0.996885612,150.7694
2011,4.669268302,1675.611305,1078.203971,46.42449981,1.778241296,0.006085241,0.173862699,N/A,3.530823886,2.183255415,2.56637684,4.749632255,3.477409447,9.897500048,1567.889999,8.153021354,0.445629967,0.001086005,0.042331361,N/A,0.697414234,125.43395
2012,6.238825137,1178.227762,637.8613679,42.7961072,1.912858608,0.003977663,0.219817434,N/A,3.4346715,2.628342073,2.228084339,4.856426412,2.875985028,11.9733333,1093.829994,12.78398475,0.800550128,0.001958669,0.109410646,N/A,1.121793032,130.05085
