Year,Month,WaterYear,WaterYearMonth,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,N/AMGridTempC,N/AMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL
1991,10,1992,199210,7.749720029,149.606,56.55409141,14.82400432,1.041751602,0.003228633,0.086871488,N/A,1.665906414,0.143164483,0.386466248,0.52963073,0.676976169,12.93999958,127.1900024,12.58264402,0.881633826,0.002740739,0.075895385,N/A,1.42510066
1991,11,1992,199211,0.645180138,57.658,41.24546324,17.70535312,0.778739156,0.005872163,0.192873225,N/A,2.31605427,0.131788753,0.198291775,0.330080527,0.264367728,4.039999962,60.72000122,15.93387365,0.692197341,0.00533392,0.180305692,N/A,2.080828854
1991,12,1992,199212,-7.56164004,91.44,46.86460119,14.36230263,0.363024855,0.004214331,0.181520032,N/A,1.731071948,0.12766375,0.41958711,0.54725086,0.345391322,-2.400000095,82.30000305,13.80274202,0.350157679,0.004054233,0.177245207,N/A,1.659722243
1992,1,1992,19921,-10.97679789,89.662,39.77898839,21.36903672,0.545552289,0.016894512,0.329776913,N/A,2.755995857,0.056337346,0.253184353,0.309521699,0.277125092,-5.489999771,73.41000366,15.94208465,0.531184951,0.01005556,0.256179804,N/A,2.072327436
1992,2,1992,19922,-9.606429146,97.536,22.76496021,32.35651836,0.871605279,0.012341987,0.46147839,N/A,4.041239895,0.085769548,0.418346828,0.504116376,0.316871093,-3.470000029,78.58000183,29.67718782,0.827587653,0.010762154,0.420452912,N/A,3.718647703
1992,3,1992,19923,-6.084809345,100.838,54.57559726,19.51713941,0.513951594,0.019309002,0.290185668,N/A,2.507313895,0.229323644,0.535191805,0.764515449,0.622465997,-0.200000003,100.7600021,11.76496515,0.36536476,0.016124423,0.21694091,N/A,1.532949472
1992,4,1992,19924,1.850847712,94.996,206.8166536,4.837217638,0.161330339,0.005574987,0.075921633,N/A,0.630338385,0.179896874,0.375669358,0.555566232,0.607395952,7.03000021,76.63999939,2.707228795,0.109904109,0.003795632,0.043320454,N/A,0.35807526
1992,5,1992,19925,11.53947364,58.928,96.79632072,9.801593117,0.3369099,0.00559635,0.061746044,N/A,1.205128822,0.245248857,0.146311629,0.391560487,0.285436963,18.20000076,42,6.673394145,0.271497923,0.004700592,0.042732204,N/A,0.827737939
1992,6,1992,19926,15.58608705,85.09,29.72993824,52.02533329,1.523327285,0.020887361,0.289158127,N/A,5.539216141,0.19965124,0.200800822,0.400452061,0.654140706,20.69000053,72,27.08381004,0.805585259,0.008577213,0.150147716,N/A,2.8630451
1992,7,1992,19927,15.77659591,154.432,19.38004553,94.0787237,4.34389559,0.042812732,0.447702651,N/A,10.08708729,0.237646906,0.403954131,0.641601038,0.928117071,21.27000046,116.0400009,42.6211589,2.075330522,0.022961762,0.217162013,N/A,4.379152715
