WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,3.677190027,966.7846743,634.416997,7.141714286,N/A,0.010277293,0.183644609,0.002578571,2.636884286,4.6816,5.088774194,9.770374194,9.192,1.978333424,1052.34,0.111518937,N/A,0.000160481,0.002867638,4.02648E-05,0.041175343,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,3.694046881,1230.7,528.2706231,8.3675,N/A,0.01519381,0.158133483,0.002465,2.53970775,4.171222222,4.638064516,8.809286738,10.32,1.60708337,1033.540014,0.186801747,N/A,0.000339197,0.003530279,5.50303E-05,0.056698159,112.48385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,4.397476507,1330.85,662.7546588,8.210869565,N/A,0.008752302,0.142364333,0.003122222,2.507200435,3.363888889,4.213548387,7.577437276,9.333333333,2.637083327,1210.989998,0.168025764,N/A,0.000179106,0.002913318,5.00029E-05,0.0513069,114.15185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,4.258088937,1060.1,551.9088427,7.837073171,N/A,0.015423582,0.199964472,0.005710526,2.271709756,3.405111111,4.093870968,7.498982079,8.94,2.828333378,1028.370014,0.171653273,N/A,0.000337819,0.004379767,5.79621E-05,0.049756638,112.1293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,4.330948438,1331.9,730.4261128,7.9875,N/A,0.015956703,0.219184302,0.00315,2.2236075,4.498666667,5.6,10.09866667,11.31333333,2.660000016,1269.480003,0.103173043,N/A,0.00020611,0.002831163,2.543E-05,0.028721922,123.58595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,3.29928489,1125.7,601.9131632,6.699189189,N/A,0.01377311,0.226833017,0.003868182,1.92312,3.535777778,4.078064516,7.613842294,8.436666667,2.183749914,1069.320019,0.12141485,N/A,0.000249621,0.004111079,4.16848E-05,0.034854267,117.37555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,5.436201259,1233.9,753.5772107,9.166428571,N/A,0.01486778,0.23019717,0.003866667,2.07126,3.885777778,3.883870968,7.769648746,7.49,3.335833391,968.1900101,0.15062719,N/A,0.000244315,0.003782711,3.6308E-05,0.034035947,115.3143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,4.618446787,1235.64,611.2351335,8.028,N/A,0.017030837,0.188299327,0.002766667,2.323563,4.113666667,3.5,7.613666667,5.593333333,2.812916686,1047.469997,0.11617214,N/A,0.000246451,0.002724855,1.60144E-05,0.033623977,115.4761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,4.065414096,1522.68,633.0274184,8.045128205,2.018181818,0.015509729,0.184587535,0.001847059,2.371813846,4.553111111,5.367419355,9.920530466,7.573333333,2.388749928,1203.250004,0.146135839,0.0206796,0.000281727,0.003352943,1.46248E-05,0.043082844,117.70745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,4.337633542,1163.3,339.5237982,8.287333333,2.389666667,0.026742037,0.185897204,0.003033333,2.329557,5.076555556,4.610967742,9.687523297,7.05,2.270833333,1003.640007,0.215897455,0.062254399,0.00069667,0.004842901,3.16092E-05,0.060688452,130.62675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,6.014356164,1254.03,400.8883086,8.498918919,1.812972973,0.007498297,0.229598827,0.002092857,2.37672,4.809,4.960967742,9.769967742,8.18,3.057500045,1116.240002,0.231272344,0.04933457,0.000204043,0.006247837,2.15489E-05,0.064675238,130.7457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,4.354403328,1293.37,612.5426706,7.685714286,2.019642857,0.01313641,0.172042775,0.001988889,2.204578929,4.632444444,4.933870968,9.566315412,7.463333333,2.640416719,991.75,0.103582789,0.027219362,0.000177044,0.002318675,8.61585E-06,0.029711804,105.27265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,3.501536986,1342.17,500.0688427,7.5,2.209677419,0.011772468,0.165602921,0.003044444,2.198122258,4.188333333,4.85483871,9.043172043,8.236666667,1.404999981,1099.010008,0.137080236,0.04038708,0.00021517,0.003026785,1.61548E-05,0.040175882,117.1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,3.532012375,1375.47,457.7020772,7.450333333,1.987,0.020525005,0.194534304,0.00323,2.02797,4.450444444,4.755483871,9.205928315,5.94,0.793333268,1065.579987,0.143977874,0.038398824,0.000396646,0.00375938,2.08066E-05,0.03919057,116.1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,5.982008516,1115,405.1826706,7.382205882,2.301352941,0.015098006,0.247917422,0.002016667,2.04462,3.235555556,3.732580645,6.968136201,5.58,3.303333434,994.7700081,0.182639996,0.056936788,0.000373533,0.006133619,1.76095E-05,0.050585068,105.08055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,3.77714071,1264.22,500.8123442,7.134555556,1.820540541,0.021101421,0.250369874,0.002666667,2.051073,4.289444444,4.936129032,9.225573477,6.243333333,1.314166675,1170.369991,0.151208457,0.039655984,0.000459642,0.00545369,1.88389E-05,0.044677565,117.8357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,4.442120548,1306.56,616.1191691,7.352928571,1.888714286,0.011038985,0.191701886,0.00141875,1.954551429,3.5,4.170645161,7.670645161,5.65,1.862916678,1155.890009,0.147783721,0.037960552,0.000221868,0.003852943,1.08628E-05,0.039283788,117.79485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,6.505478082,820.17,229.3968662,7.599045455,2.234272727,0.005950675,0.315774082,0.0032,2.0175471,3.692111111,4.148064516,7.840175627,5.18,4.047500094,788.9899998,0.21487007,0.063176137,0.000168261,0.008928806,2.46772E-05,0.057048018,128.5689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,6.900586582,1107.57,442.7026983,7.759741935,2.357774194,0.007717228,0.254514747,0.002233333,2.116736306,4.102777778,4.267741935,8.370519713,6.036666667,4.016250007,1045.360001,0.160205892,0.048678077,0.000159328,0.005254654,1.78486E-05,0.043701663,121.7864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6.500537551,1180.17,369.6759189,8.21496875,1.976515152,0.004898895,0.243443416,0.002654167,2.114015384,4.431,4.753225806,9.184225806,5.733333333,3.913750052,1015.019989,0.209660402,0.05202051,0.000128936,0.006407262,5.08042E-05,0.055639421,125.4394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,5.340661644,1134.49,361.7415595,8.964870968,2.092741935,0.007088528,0.227785088,0.002577419,2.145872586,4.391333333,4.091612903,8.482946237,5.76,2.737916594,928.1199875,0.226510851,0.05287625,0.000179102,0.00575533,6.51223E-05,0.054218675,125.9709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,5.896229292,1315.928,534.6288364,7.190384615,1.994346154,0.007460199,0.179186089,0.00281,2.004406135,4.866555556,5.333548387,10.20010394,5.88,3.723750005,1305.460003,0.103099076,0.028595862,0.000106968,0.002569253,3.09931E-05,0.028740107,111.38135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,4.736908219,1088.9,482.2463941,7.767692308,1.850115385,0.011638269,0.229840935,0.002553846,1.99212394,4.162666667,4.209032258,8.371698925,5.22,2.281250016,1013.850006,0.123474721,0.029409311,0.000185001,0.003653536,4.05958E-05,0.03166667,125.68015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,5.41404235,1301.37,363.975653,7.39856,2.1753,0.014566801,0.16935343,0.00426,1.966927426,4.470666667,4.678709677,9.149376344,6.09,2.797916626,1181.84,0.17979508,0.052862751,0.000353993,0.004115519,0.000103524,0.047799014,115.65205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,5.396037947,1043.26,304.959799,2.319654839,2.036322581,0.008501225,0.164932494,0.000625806,0.581439725,3.291555556,3.057419355,6.34897491,4.433333333,2.809583373,994.670002,0.069522303,0.061030561,0.00025479,0.004943187,1.8756E-05,0.017426312,127.12005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
