Year,Month,WaterYear,WaterYearMonth,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL
1981,6,1981,19816,13.23001029,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.15499973,125.2300034,N/A,N/A,N/A,N/A,N/A,N/A
1981,7,1981,19817,17.47532107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.26000023,78.76000214,N/A,N/A,N/A,N/A,N/A,N/A
1981,8,1981,19818,18.12758065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.36000061,89.15000153,N/A,N/A,N/A,N/A,N/A,N/A
1981,9,1981,19819,10.78033333,119.3333333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.520000458,130.6199951,N/A,N/A,N/A,N/A,N/A,N/A
1981,10,1981,198110,3.5614881,38.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.125,70.41999817,N/A,N/A,N/A,N/A,N/A,N/A
1981,11,1981,198111,-0.634666667,61.65517241,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.934999943,66.45999908,N/A,N/A,N/A,N/A,N/A,N/A
1981,12,1981,198112,-11.09709677,153.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-12.79500008,134.3200073,N/A,N/A,N/A,N/A,N/A,N/A
1982,1,1981,19811,-12.69471495,26,11.32671141,N/A,N/A,N/A,N/A,N/A,N/A,0.056777778,0.198709677,0.255487455,0.186666667,-14.56000042,60.56999969,0,N/A,N/A,N/A,N/A,N/A
1982,2,1981,19812,-6.460357143,67.65,28.45208054,6.5,N/A,0.040998245,0.738,0.0025,2.69397,0.432444444,0.569032258,1.001476703,0.61,-8.765000343,91.33999634,0.083899457,N/A,0.000529189,0.002151929,3.2269E-05,0.034772711
1982,3,1981,19813,-2.349840625,107.8,83.73261745,4.94,N/A,0.00388241,0.889333333,0.001533333,2.44533,0.762222222,0.652580645,1.414802867,1.55,-4.099999905,66.38999939,0.065,N/A,5.10843E-05,0.002643485,2.01754E-05,0.032175395
1982,4,1981,19814,3.566972993,71.9,214.6469799,4.233571429,N/A,0.008042134,0.831428571,0.003228571,2.250604286,0.297888889,0.318387097,0.616275986,0.616666667,1.720000029,102.7600021,0.050703737,N/A,9.63173E-05,0.002249489,3.86673E-05,0.026954558
1982,5,1981,19815,10.03483871,79,59.03033557,4.749,N/A,0.022492093,0.628333333,0.001266667,2.42313,0.401333333,0.381612903,0.782946237,0.866666667,7.730000019,55.13000107,0.08863556,N/A,0.000419793,0.002649243,2.36411E-05,0.045225413
1982,6,1982,19826,14.254,337.1,128.4402685,4.602,N/A,0.012268414,0.7038,0.00324,2.34099,1.390666667,1.149354839,2.540021505,3.216666667,12.19499969,162.1699982,0.065792325,N/A,0.000175395,0.002273022,4.63205E-05,0.033467878
1982,7,1982,19827,18.42822581,10.4,32.14389262,5.25,N/A,0.017199074,0.508,0.0016,2.2136175,0.135333333,0.110645161,0.245978495,0.366666667,15.80000019,28.13999939,0.239927841,N/A,0.000786007,0.005244582,7.31209E-05,0.101163518
1982,8,1982,19828,18.01564516,107,0.734496644,6.085,N/A,0.028322178,0.62,0.0022,2.3484825,0.346111111,0.219032258,0.565143369,0.846666667,15.71000004,88.63999939,12.17,N/A,0.056644356,0.280122169,0.0044,4.696965
1982,9,1982,19829,10.99754527,55.35,0.057986577,6.333333333,N/A,0.015917879,0.755666667,0.002466667,2.51082,0.255111111,0.225806452,0.480917563,0.576666667,9.225000381,61.43000031,120.3333333,N/A,0.302439706,3.243468334,0.046866667,47.70558
1982,10,1982,198210,4.083250116,147,0.811812081,5.956666667,N/A,0.006315386,0.625333333,0.0013,2.46198,0.266,0.388387097,0.654387097,1.023333333,2.440000057,131.9900055,8.084047619,N/A,0.008570881,0.191718022,0.001764286,3.341258571
1982,11,1982,198211,1.108333333,58.1,18.74899329,5.3075,N/A,0.011860761,0.439,0.0015,2.09124,0.090222222,0.135483871,0.225706093,0.383333333,-1.049999952,62.29000092,0.415845361,N/A,0.000929297,0.0077702,0.000117526,0.163849732
1982,12,1982,198212,-6.576129032,93,17.41530201,5.89,N/A,0.025882731,0.423333333,0.001933333,2.1201,0.135333333,0.408709677,0.544043011,0.366666667,-8.300000191,119.0599976,0.372619312,N/A,0.00163742,0.006050041,0.000122309,0.134123973
