WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1981,3.628322415,1230.7,598.8467114,5.047169811,N/A,0.016449057,0.582622642,0.002541509,2.326792453,N/A,N/A,N/A,N/A,2.3370833,1071.150005,7.229095181,N/A,0.017601405,0.964099871,5.00E-03,3.853349698,N/A
1982,3.610323515,1330.85,755.8357047,5.002033898,N/A,0.012894915,0.562610169,0.003322449,2.322146893,4.171222222,4.638064516,8.809286738,10.32,1.437083373,1051.369999,5.653700863,N/A,0.015375698,0.763926401,1.93E-03,2.664288771,112.48385
1983,4.336166072,1059.3,633.8899329,4.714107143,N/A,0.026473214,0.805267857,0.008509677,2.083392857,3.363888889,4.213548387,7.577437276,9.333333333,2.785416807,1236.150002,7.036975358,N/A,0.035903493,1.609579827,9.94E-03,3.116822871,114.15185
1984,4.258437865,1331.9,895.8926174,4.638780488,N/A,0.021978049,0.903170732,0.003624138,2.017723577,3.405111111,4.093870968,7.498982079,8.94,2.428333292,1045.240005,8.278172289,N/A,0.028812401,2.153703753,0.003446316,3.435931295,112.1293
1985,4.244937113,1125.7,706.4697987,4.865681818,N/A,0.015227273,1.017818182,0.003493103,1.818560606,4.498666667,5.6,9.82544086,11.31333333,1.562083234,1287.600006,8.604564076,N/A,0.033197214,2.538458388,3.81E-03,2.955577423,123.58595
1986,3.222511781,1233.9,708.5959732,5.18047619,N/A,0.02132619,0.970833333,0.00465,1.824920635,3.535777778,4.078064516,7.613842294,8.436666667,2.379999975,1088.519993,7.491480499,N/A,0.030788451,1.767259267,5.11E-03,2.64325419,117.37555
1987,5.372874153,1235.64,752.2405369,5.101904762,1.95,0.019278571,0.835690476,0.002422222,2.158571429,3.885777778,3.883870968,7.769648746,7.49,3.842500011,983.6800117,11.16164242,1.722064299,0.035125719,2.564396286,4.57E-03,5.043526634,115.3143
1988,4.573629852,1522.68,694.2926174,4.71175,2.050869565,0.01824,0.76615,0.002847368,2.0615,4.113666667,3.5,6.845222222,5.593333333,2.282500056,1063.770008,7.80426779,5.109099785,0.030210196,1.537317547,2.47E-03,3.45821333,115.4761
1989,3.970923905,1163.3,475.7218792,4.957058824,2.727647059,0.034329412,0.818911765,0.0033,1.950882353,4.553111111,5.367419355,9.920530466,7.573333333,1.170000145,1222.670006,8.728479584,4.11360141,0.055631366,1.891581802,4.18E-03,3.50969188,117.70745
1990,4.265085956,1254.03,583.5575839,4.983902439,2.037804878,0.012829268,0.798414634,0.0022875,2.043577236,5.076555556,4.610967742,9.687523297,7.05,2.760416701,1025.119997,9.683345451,4.236988364,0.017464613,2.288482224,3.36E-03,4.08119841,130.62675
1991,5.949582181,1293.37,613.7299329,4.970930233,1.979767442,0.016313953,0.618837209,0.00275,2.041395349,4.809,4.960967742,9.769967742,8.18,3.034999967,1139.639999,8.707017554,4.237669679,0.027371141,1.281996136,3.11E-03,3.680914677,130.7457
1992,4.318414991,1342.17,712.1331544,4.656046512,1.879767442,0.01055814,0.60355814,0.002564286,1.98503876,4.632444444,4.933870968,9.566315412,7.463333333,1.435416666,1008.659996,6.833781538,3.039562604,0.014663333,1.355744259,3.17E-03,2.854812612,105.27265
1993,3.411493916,1375.47,689.4797315,4.63325,1.767275,0.01765,0.807825,0.002006667,1.8015,4.188333333,4.85483871,9.043172043,8.236666667,1.424583285,1111.330002,8.134829275,2.983751164,0.039979203,1.827140348,3.77E-03,3.08024806,117.1791
1994,3.436588401,1115,518.7285906,5.029432432,2.193405405,0.019102703,1.00872973,0.002123077,1.687837838,4.450444444,4.755483871,9.205928315,5.94,1.819999971,1083.670002,6.786185081,3.270891138,0.029195751,1.635151787,2.52E-03,2.21849291,116.1296
1995,5.878858984,1264.22,574.7242953,4.535926829,1.934790698,0.016839535,0.988186047,0.00178,1.743146341,3.235555556,3.732580645,6.968136201,5.58,2.132916624,1014.800001,7.130694598,3.423595938,0.021392308,1.915027102,1.91E-03,2.90641219,105.08055
1996,3.731732071,1306.56,663.4824161,4.234595238,1.860142857,0.013966667,0.7885,0.00146875,1.625555556,4.289444444,4.936129032,9.225573477,6.243333333,1.277500023,1185.279987,7.8562995,4.066051421,0.024190079,2.012562714,1.62E-03,2.961427399,117.8357
1997,4.384110525,820.17,290.8600299,4.790588235,2.280852941,0.009917647,1.007617647,0.0023125,1.750276471,3.5,4.170645161,7.670645161,5.65,1.758749925,1174.590008,10.52518177,5.405070328,0.017668983,3.311187507,6.96E-03,3.820895082,117.79485
1998,6.473842217,1107.57,478.5203232,4.204055556,2.278083333,0.009458333,0.840472222,0.002228571,1.795807315,3.692111111,4.148064516,7.840175627,5.18,4.505833187,803.6499977,7.494630438,5.190614878,0.023377914,2.114539065,2.03E-03,3.500664425,128.5689
1999,6.838402618,1180.17,424.7200367,4.128472222,2.006378378,0.006327027,0.777324324,0.002076923,1.743776667,4.102777778,4.267741935,8.370519713,6.036666667,3.535833334,1063.25,6.412876731,3.792062273,0.011880584,1.562289828,4.56E-03,2.87903011,121.7864
2000,6.480627451,1134.49,428.8850688,4.756243243,1.920216216,0.007886486,0.757108108,0.002759459,1.794042246,4.431,4.753225806,9.184225806,5.733333333,2.730416665,1030.900009,12.0471624,5.747283878,0.017018711,3.23796496,9.55E-03,4.162909062,125.4394
2001,5.265426866,1315.928,645.1809844,4.204612903,2.375032258,0.010745161,0.66916129,0.002015,1.695225128,4.391333333,4.091612903,8.482946237,5.76,3.804583331,946.7200012,5.612510551,4.666258631,0.021444304,1.253862655,3.77E-03,2.351290047,125.9709
2002,5.832032479,1088.9,480.0607345,4.261866667,2.089233333,0.016053333,0.928666667,0.00311,1.609867491,4.866555556,5.333548387,10.20010394,5.88,2.892083312,1327.790024,7.106046573,3.710142754,0.026902264,2.525600315,5.54E-03,2.858590124,111.38135
2003,4.635885196,1301.37,590.2299351,4.369623333,2.2925,0.020236667,0.7283,0.002476667,1.63419042,4.162666667,4.209032258,8.371698925,5.22,2.073333442,1029.150005,5.063815246,3.911721021,0.03216842,1.070738363,4.05E-03,2.020195821,125.68015
2004,5.392961428,1043.26,397.5483328,4.1013,1.9425,0.007717857,0.73725,0.00285,1.546029498,4.470666667,4.678709677,9.149376344,6.09,2.17208334,1203.249992,9.516292955,5.47044177,0.019452608,2.545151666,8.85E-03,3.52498482,115.65205
2005,5.353367018,960.29,426.4330005,4.234344444,2.148259259,0.014407407,0.74482963,0.002748148,1.568805611,3.291555556,3.057419355,6.34897491,4.433333333,3.559999973,1011.390003,7.833165274,5.186532317,0.03842935,1.86028669,6.51E-03,3.066397115,127.12005
2006,7.304270244,1074.72,328.1710157,4.25769697,2.151939394,0.017678788,0.871969697,0.003812121,1.528229268,3.901333333,3.73483871,7.636172043,4.603333333,4.069583365,1042.969997,7.131581949,4.287047559,3.72E-02,1.809166306,0.00708908,2.6027514,112.9891
2007,6.139852791,1304.88,514.2205211,4.506905263,1.9385,0.010694737,1.549,0.002373684,1.359937341,3.223888889,3.29,6.242921147,4.02,3.380416632,971.7400055,15.21653762,6.018386205,3.95E-02,7.013995847,6.92E-03,3.961209111,125.0001
2008,5.141364361,1037.56,323.115035,4.723651282,1.799410256,0.005282051,1.075564103,0.001305128,1.555595032,4.616111111,3.901935484,8.518046595,5.346666667,2.211666644,1158.390003,10.99053168,5.062287136,9.20E-03,2.793198918,2.87E-03,3.868932999,124.2454
2009,3.842995392,900.09,181.4159945,4.863407143,1.825738095,0.004047619,0.849357143,0.001333333,1.550456372,3.351444444,3.016774194,6.368218638,3.466666667,2.118750056,1018.73,6.167749476,2.849798679,4.79E-03,1.408495097,1.81E-03,1.880733983,122.11215
2010,5.600861495,1228.01,515.2423302,4.8880375,1.7859375,0.003808333,0.993104167,0.001202083,1.481512439,2.031555556,1.580645161,3.612200717,2.083333333,4.315000081,870.5999994,7.541774847,3.044605173,6.92E-03,2.114428773,2.16E-03,2.217604772,132.16105
2011,4.580555876,1138.73,422.5065281,4.37936,1.96730303,0.003515152,0.926121212,0.001121429,1.348393715,3.243333333,2.477096774,5.720430108,3.18,3.328750049,1153.979996,7.858239837,4.682582518,0.006657989,2.353938816,0.000637778,2.403553425,105.3348
2012,6.710680695,856.52,N/A,N/A,2.173317073,0.005158537,0.655170732,0.001096429,1.283370859,N/A,N/A,N/A,N/A,4.720833262,1065.120014,N/A,N/A,N/A,N/A,N/A,N/A,139.4818
2013,4.437635971,N/A,N/A,N/A,1.944681818,0.003477273,0.901022727,0.001505,1.157754322,N/A,N/A,N/A,N/A,2.167083452,1235.700001,N/A,N/A,N/A,N/A,N/A,N/A,117.9587
2014,7.526898935,N/A,N/A,N/A,2.160774194,0.004322581,0.596709677,N/A,1.15757228,N/A,N/A,N/A,N/A,0.802500074,1306.990002,N/A,N/A,N/A,N/A,N/A,N/A,111.89235
