WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI,
1981,3.677190027,966.7846743,817.3472527,5.20725,N/A,0.024989776,0.060278978,0.006141667,2.2829925,4.6816,5.088774194,9.770374194,9.192,1.980416745,1050.18,1.154872243,N/A,0.00598243,0.025017694,0.001973611,0.644173459,N/A,
1982,3.694046881,1230.7,571.2199793,7.013888889,N/A,0.014019812,0.042376008,0.007952778,3.1900475,4.171222222,4.638064516,8.809286738,10.32,1.613749872,1032.399986,1.71930444,N/A,0.005065317,0.013086438,0.002783931,0.816341386,112.48385,
1983,4.397476507,1330.85,634.6951115,5.944347826,N/A,0.011547636,0.024348628,0.009052778,2.20554587,3.363888889,4.213548387,7.577437276,9.333333333,2.64791658,1211.140003,1.228268561,N/A,0.002188014,0.01127973,0.001362191,0.484077747,114.15185,
1984,4.258088937,1060.1,468.2270118,6.951190476,N/A,0.017603954,0.048607221,0.011165,3.097930714,3.405111111,4.093870968,7.498982079,8.94,2.834583342,1026.919998,1.871015109,N/A,0.008622203,0.02637903,0.001527996,0.703200952,112.1293,
1985,4.330948438,1331.9,742.6232471,5.649,N/A,0.019699346,0.050437051,0.012370588,1.549449,4.498666667,5.6,10.09866667,11.31333333,2.667083373,1272.019997,1.240961552,N/A,0.00420246,0.022568185,0.001145341,0.43864736,123.58595,
1986,3.29928489,1125.7,554.6270118,5.7925,N/A,0.018318503,0.043712613,0.010255,1.221555,3.535777778,4.078064516,7.613842294,8.436666667,2.193333348,1067.979984,1.560816106,N/A,0.00609996,0.017359993,0.000991394,0.428045856,117.37555,
1987,5.436201259,1233.9,554.3961306,N/A,N/A,N/A,N/A,N/A,N/A,3.885777778,3.883870968,7.769648746,7.49,3.342083335,969.5600014,N/A,N/A,N/A,N/A,N/A,N/A,115.3143,
1988,4.618446787,1235.64,472.400518,6.394871795,N/A,0.015183208,0.041027819,0.00804375,2.217267692,4.113666667,3.5,7.613666667,5.593333333,2.819999993,1048.629993,1.526784745,N/A,0.00469146,0.020427168,0.000659496,0.593828333,115.4761,
1989,4.065414096,1522.68,613.5802729,6.147297297,4.661818182,0.01746035,0.026760581,0.008982353,2.14008,4.553111111,5.367419355,9.920530466,7.573333333,2.398750038,1202.329979,0.894727966,0.491586398,0.002798838,0.005265765,0.000479287,0.319601185,117.70745,
1990,4.337633542,1163.3,426.3697694,7.559714286,7.217941176,0.022013262,0.041659535,0.007892857,3.800576571,5.076555556,4.610967742,9.687523297,7.05,2.280000071,1002.230001,1.318376369,1.577061896,0.004319341,0.015028345,0.000633158,0.504861933,130.62675,
