WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWASO4SmgL,iNDVI
1981,5.052893773,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.417500123,1293.09,N/A,N/A,N/A,N/A,N/A,N/A
1982,4.625298837,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.977916588,1275.079983,N/A,N/A,N/A,N/A,N/A,127.77495
1983,6.451648587,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.77333323,1301.150024,N/A,N/A,N/A,N/A,N/A,130.7481
1984,5.461667735,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.770000041,1597.579998,N/A,N/A,N/A,N/A,N/A,124.8114
1985,5.686815715,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.70416674,958.1599998,N/A,N/A,N/A,N/A,N/A,118.49575
1986,5.632032338,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.225416561,1242.899994,N/A,N/A,N/A,N/A,N/A,119.1449
1987,5.404361157,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.435833166,1094.990007,N/A,N/A,N/A,N/A,N/A,120.8676
1988,5.412710267,1041,1442,N/A,N/A,N/A,N/A,N/A,25.72,2.56,28.28,33.97,5.861666704,1043.749996,N/A,N/A,N/A,N/A,N/A,109.9728
1989,5.469816622,1438,991,1.8071,2.0790,0.0068,0.1993,3.6208,26.63,3.22,29.85,35.31,5.509583394,1289.179996,1.8246,2.6521,0.0113,0.3038,3.8010,132.4008
1990,5.185227646,1387,845,1.9886,1.9938,0.0041,0.2447,4.2741,26.57,3.02,29.59,34.9,5.365833307,1292.660007,1.9753,2.0325,0.0066,0.3047,4.3565,149.41575
1991,6.485799264,1359,1009,2.0801,1.7359,0.0070,0.4642,4.5265,26.5,2.41,28.91,33.9,6.765833355,1452.160015,2.2971,1.8516,0.0111,0.6979,4.8995,140.6972
1992,4.884821045,1267,827,2.2786,1.5055,0.0108,0.5081,4.8880,26.4,2.3,28.7,33.6,5.21083343,1079.389999,2.4611,1.5913,0.0186,0.6312,5.2452,136.7901
1993,4.979612112,1102,764,1.9409,1.2136,0.0133,0.5106,4.2301,26.27,2.31,28.58,33.57,5.216666691,1069.459984,2.5588,1.9140,0.0495,0.7553,5.8918,139.0618
1994,4.860084742,1370,1009,2.1106,1.4383,0.0000,0.3866,5.0932,26.54,2.57,29.11,33.65,5.178750028,1356.419983,2.6063,1.9455,0.0000,0.5688,6.5580,128.1218
1995,6.087835652,1094,582,2.1531,1.3502,0.0079,0.5886,4.9379,26.45,2.32,28.77,32.48,6.099583298,1034.899986,2.7844,1.7469,0.0193,0.9529,6.5285,138.36845
1996,5.746898202,1757,1182,2.5548,1.7526,0.0146,0.4400,6.4867,26.74,3.07,29.81,33.96,5.490000084,1561.960001,2.5655,1.8612,0.0118,0.5272,6.6203,128.2487
1997,5.379459622,1292,791,1.9812,1.4762,0.0158,0.4050,5.3451,26.83,3.61,30.44,34.63,5.576249985,1184.760002,2.1747,1.7919,0.0177,0.6231,6.2955,143.65865
1998,5.652665038,1111,1027,2.0475,1.9940,0.0036,0.5400,5.8800,26.43,2.01,28.44,32.68,6.577499955,1218.949982,2.0715,2.1868,0.0055,0.6051,6.4606,156.3576
1999,6.413940547,1428,891,2.0111,1.6657,0.0157,0.8646,5.2953,27,3.03,30.03,35.68,7.342083065,1288.179995,2.2763,1.9073,0.0424,1.1283,6.2247,135.8884
2000,5.139541785,1272,918,1.6951,1.7642,0.0137,0.4576,5.0652,27.15,3.24,30.39,34.65,6.187916766,1220.190006,2.0257,2.1368,0.0198,0.6877,6.1966,155.33865
2001,5.139777307,977,455,1.9340,1.9277,0.0032,0.3690,4.9144,26.13,1.77,27.9,32.23,6.007083396,896.0999908,2.1384,2.4288,0.0062,0.6314,6.3290,156.69505
2002,6.019691565,1178,618,1.7386,1.6888,0.0075,0.2865,5.1284,27.24,2.89,30.13,33.13,6.971249933,1082.379999,2.1935,2.3236,0.0159,0.5390,6.9624,169.77055
2003,4.402493538,1233,791,1.8289,2.0853,0.0169,0.1554,5.5954,26.06,1.63,27.69,31.64,5.068749825,1115.829998,1.8763,2.5034,0.0425,0.2337,6.2713,145.56035
2004,4.840812022,1419,1027,1.9768,1.8993,0.1225,0.1926,6.2280,25.94666667,1.985454545,27.93212122,32.68363636,5.620000174,1249.830008,1.9060,0.5642,0.0477,0.1935,6.1989,167.25065
2005,5.340950575,1356,1036,1.7058,1.5222,N/A,0.2541,5.4297,26.43,1.61,28.04,32.2,5.914583246,1427.830002,1.7696,1.7658,0.0000,0.4228,5.9593,139.5664
2006,6.302579726,2033,1445,1.7534,1.8320,0.1470,0.4684,5.0534,27.09,2.06,29.15,32.94,7.074583421,1651.859978,1.7711,2.0497,0.0242,0.4727,5.3752,122.4434
2007,5.589102685,1412,1018,1.5256,1.7067,0.1797,0.5614,4.7071,26.52,1.82,28.34,32.46,6.189166635,1323.389992,1.6657,2.1533,0.0385,0.7728,5.3240,152.5212
